4	2:291	10:6	25:0	26:0
4	2:90	4:135	31:0	32:0
4	1:27	7:211	33:0	34:0
5	0:219	2:193	6:4	12:0	44:359
5	0:105	2:223	8:291	12:0	13:0
5	1:73	2:260	5:99	13:0	14:0
5	0:55	1:203	6:117	14:0	15:0
5	0:283	1:44	8:247	15:0	16:0
5	0:127	1:22	3:58	16:0	17:0
5	0:301	2:154	9:224	17:0	18:0
5	0:82	1:122	5:154	18:0	19:0
5	0:70	1:84	10:26	19:0	20:0
5	1:132	2:61	3:301	20:0	21:0
5	1:288	2:83	8:57	21:0	22:0
5	0:152	1:11	3:87	22:0	23:0
5	1:286	2:136	7:7	23:0	24:0
5	0:95	1:298	4:0	24:0	25:0
5	0:130	1:9	3:131	26:0	27:0
5	0:281	2:321	7:44	27:0	28:0
5	0:6	1:296	7:92	28:0	29:0
5	0:71	2:250	6:57	29:0	30:0
5	1:345	2:308	11:43	30:0	31:0
5	0:290	2:346	9:119	32:0	33:0
5	0:165	2:115	9:38	34:0	35:0
5	0:188	1:160	4:107	35:0	36:0
5	1:337	2:64	5:22	36:0	37:0
5	1:16	2:160	5:153	37:0	38:0
5	0:122	1:154	4:313	38:0	39:0
5	0:13	2:34	8:171	39:0	40:0
5	0:209	2:119	11:266	40:0	41:0
5	1:258	2:126	6:119	41:0	42:0
5	1:70	2:233	11:59	42:0	43:0
5	0:60	2:1	10:91	43:0	44:0
