9	0:22	1:124	2:161	3:83	4:52	16:80	20:257	40:0	41:0
10	0:138	1:4	2:17	3:38	4:222	6:115	13:11	21:259	24:0	44:359
10	0:122	1:27	2:83	3:227	4:141	5:166	14:228	22:212	24:0	25:0
10	0:266	1:22	2:73	3:79	4:5	8:116	12:88	19:7	25:0	26:0
10	0:332	1:275	2:81	3:37	4:328	9:70	11:103	19:34	26:0	27:0
10	0:265	1:4	2:103	3:44	4:321	9:225	15:220	20:1	27:0	28:0
10	0:187	1:32	2:76	3:7	4:17	5:12	16:140	19:284	28:0	29:0
10	0:342	1:88	2:105	3:200	4:316	7:208	12:114	22:120	29:0	30:0
10	0:18	1:8	2:63	3:333	4:5	7:129	15:232	23:312	30:0	31:0
10	0:114	1:82	2:221	3:25	4:318	6:20	16:207	18:10	31:0	32:0
10	0:89	1:93	2:44	3:83	4:298	5:161	12:262	23:5	32:0	33:0
10	0:340	1:146	2:226	3:201	4:352	6:3	14:275	17:280	33:0	34:0
10	0:359	1:14	2:29	3:262	4:13	7:28	10:0	17:69	34:0	35:0
10	0:257	1:271	2:132	3:291	4:303	6:74	13:19	17:36	35:0	36:0
10	0:147	1:50	2:125	3:34	4:154	8:32	14:194	21:35	36:0	37:0
10	0:160	1:126	2:156	3:247	4:0	5:1	11:16	18:35	37:0	38:0
10	0:299	1:231	2:13	3:1	4:17	9:24	15:40	18:122	38:0	39:0
10	0:259	1:90	2:2	3:125	4:113	9:6	10:103	22:268	39:0	40:0
10	0:29	1:24	2:90	3:7	4:49	8:93	10:183	20:9	41:0	42:0
10	0:21	1:2	2:228	3:263	4:29	7:26	11:242	21:25	42:0	43:0
10	0:156	1:270	2:6	3:274	4:6	8:210	13:271	23:348	43:0	44:0
