8	3:280	8:259	35:36	54:123	79:342	82:10	100:0	179:359
8	2:238	6:38	37:64	60:61	82:60	83:135	170:0	171:0
8	4:294	25:170	73:39	77:63	78:261	86:172	171:0	172:0
8	6:1	10:66	15:179	38:48	55:21	75:110	172:0	173:0
8	4:98	8:327	32:280	83:4	87:114	92:62	173:0	174:0
8	5:318	7:122	28:331	79:289	86:333	91:130	174:0	175:0
8	4:226	13:356	39:174	59:235	75:277	84:5	175:0	176:0
8	3:268	8:32	14:91	41:144	79:116	94:150	176:0	177:0
8	1:151	7:264	38:245	57:271	80:322	88:114	177:0	178:0
8	2:266	65:132	69:17	75:183	87:213	89:259	178:0	179:0
9	2:356	5:106	24:109	32:355	77:242	85:298	93:218	100:0	101:0
9	0:287	6:83	59:295	67:161	76:20	80:92	89:26	101:0	102:0
9	2:72	5:183	16:130	40:33	73:37	75:325	88:153	102:0	103:0
9	3:180	4:176	21:259	36:38	71:53	79:163	85:60	103:0	104:0
9	9:201	14:33	37:70	63:72	76:138	77:233	87:92	104:0	105:0
9	0:343	5:201	58:145	75:323	83:108	89:42	96:242	105:0	106:0
9	2:232	6:330	25:341	39:79	79:207	81:357	97:82	106:0	107:0
9	1:329	8:319	19:141	44:140	74:57	77:20	86:339	107:0	108:0
9	3:286	7:334	26:62	55:196	76:189	82:4	95:152	108:0	109:0
9	1:324	8:40	9:32	22:263	40:21	72:88	85:11	109:0	110:0
9	4:296	6:48	17:131	51:26	79:319	81:217	90:228	110:0	111:0
9	1:274	7:14	54:67	63:359	76:16	84:267	89:327	111:0	112:0
9	0:103	3:48	16:95	45:249	78:247	79:143	92:187	112:0	113:0
9	2:324	20:243	42:180	68:123	75:114	76:233	86:171	113:0	114:0
9	1:119	8:135	24:215	57:71	61:196	79:80	83:262	114:0	115:0
9	0:114	7:152	11:315	40:87	78:84	87:44	97:304	115:0	116:0
9	1:65	3:224	52:105	60:254	77:350	85:41	89:30	116:0	117:0
9	2:36	8:192	15:50	56:125	66:288	79:156	81:142	117:0	118:0
9	4:334	9:102	11:145	35:41	70:252	75:161	80:91	118:0	119:0
9	5:357	6:300	30:44	44:332	78:64	85:56	94:22	119:0	120:0
9	0:258	8:190	28:4	50:211	63:261	75:298	82:35	120:0	121:0
9	4:342	7:12	10:164	42:121	67:352	77:309	79:22	121:0	122:0
9	3:329	6:213	29:114	46:286	72:343	75:183	86:46	122:0	123:0
9	4:240	5:130	14:227	33:305	65:73	78:32	82:234	123:0	124:0
9	3:55	9:344	28:92	47:168	77:45	80:251	97:264	124:0	125:0
9	1:126	4:199	15:198	53:226	62:305	78:281	89:295	125:0	126:0
9	3:325	7:209	23:125	37:317	75:316	88:261	93:29	126:0	127:0
9	4:139	6:6	26:166	57:211	64:185	77:110	81:99	127:0	128:0
9	1:65	5:7	12:26	49:276	75:300	82:180	90:143	128:0	129:0
9	0:269	7:237	31:235	34:353	59:235	77:18	83:289	129:0	130:0
9	0:328	6:31	20:262	47:86	66:33	78:51	84:358	130:0	131:0
9	0:205	4:250	30:200	76:8	79:207	88:236	96:176	131:0	132:0
9	3:215	6:53	9:238	19:163	48:254	61:341	80:184	132:0	133:0
9	2:133	5:203	12:345	53:230	72:95	79:168	87:85	133:0	134:0
9	1:131	9:181	17:279	56:48	78:155	88:203	91:262	134:0	135:0
9	2:216	7:6	33:112	45:149	64:281	75:148	85:114	135:0	136:0
9	0:164	5:304	9:221	43:155	74:264	82:113	88:357	136:0	137:0
9	1:204	21:91	48:285	67:17	75:357	78:19	81:324	137:0	138:0
9	7:284	8:199	12:201	47:297	76:235	85:67	98:330	138:0	139:0
9	1:166	9:93	13:131	55:197	68:324	79:125	83:112	139:0	140:0
9	6:126	8:51	27:328	46:249	71:31	76:134	88:89	140:0	141:0
9	3:38	7:259	9:318	25:35	32:2	84:161	90:78	141:0	142:0
9	1:216	5:354	18:17	33:41	70:14	76:218	83:183	142:0	143:0
9	2:325	8:60	31:159	38:56	58:129	78:209	85:111	143:0	144:0
9	1:121	6:23	43:355	77:20	84:347	87:351	99:278	144:0	145:0
9	3:47	7:15	9:23	30:164	49:334	65:107	81:287	145:0	146:0
9	1:91	6:271	23:320	56:22	73:226	76:322	83:306	146:0	147:0
9	5:202	27:37	54:134	61:336	75:309	77:312	81:28	147:0	148:0
9	2:145	6:170	9:82	18:115	36:69	86:2	95:81	148:0	149:0
9	0:352	8:283	42:0	49:269	60:68	78:150	84:59	149:0	150:0
9	3:301	6:334	22:277	58:38	77:134	82:154	91:344	150:0	151:0
9	4:28	9:250	29:20	44:187	79:113	84:121	93:243	151:0	152:0
9	3:159	8:298	17:118	34:200	68:239	80:224	87:67	152:0	153:0
9	3:260	5:242	21:292	50:313	76:174	83:26	99:26	153:0	154:0
9	0:149	4:242	9:272	41:85	66:44	82:213	89:341	154:0	155:0
9	2:263	10:199	51:168	74:179	76:124	78:16	83:119	155:0	156:0
9	5:154	8:319	13:323	23:268	36:275	69:169	80:349	156:0	157:0
9	2:304	7:64	19:329	52:317	76:88	82:0	92:214	157:0	158:0
9	0:325	18:33	34:176	62:70	75:277	79:165	84:214	158:0	159:0
9	2:72	9:241	26:229	46:156	78:91	80:9	96:4	159:0	160:0
9	3:147	5:47	11:128	51:332	77:224	84:142	98:114	160:0	161:0
9	6:161	7:141	16:7	53:335	76:323	81:150	94:73	161:0	162:0
9	0:141	4:187	9:63	27:358	52:180	80:202	99:203	162:0	163:0
9	0:308	5:143	8:98	39:122	64:72	86:230	89:153	163:0	164:0
9	1:67	7:267	20:101	35:46	71:175	77:82	81:330	164:0	165:0
9	2:311	4:174	22:182	43:357	62:226	76:209	80:187	165:0	166:0
9	0:165	5:343	24:161	41:335	78:221	87:143	95:328	166:0	167:0
9	2:160	8:244	48:297	70:48	77:33	84:310	88:208	167:0	168:0
9	0:95	7:288	29:91	50:74	69:17	78:95	81:321	168:0	169:0
9	1:278	4:312	9:288	31:314	45:208	86:37	98:4	169:0	170:0
