9	1:1	9:328	12:275	18:145	24:278	37:202	59:355	104:0	179:359
9	6:264	8:2	11:342	19:248	37:107	57:150	81:258	174:0	175:0
9	3:74	7:278	15:104	18:169	31:4	85:222	93:188	175:0	176:0
9	4:171	10:126	11:142	19:346	20:330	40:289	96:280	176:0	177:0
9	8:182	9:264	16:23	22:142	58:59	62:68	82:267	177:0	178:0
9	6:173	7:112	11:69	19:32	47:144	83:77	90:129	178:0	179:0
10	1:87	2:237	13:256	14:339	19:79	60:89	85:330	102:334	104:0	105:0
10	4:17	7:194	10:156	18:135	22:161	39:321	71:105	81:104	105:0	106:0
10	2:297	5:198	6:90	13:289	32:341	53:266	75:149	93:282	106:0	107:0
10	1:83	7:255	8:257	12:77	28:88	48:23	79:353	94:14	107:0	108:0
10	2:273	6:186	10:358	14:324	35:113	49:284	62:69	80:229	108:0	109:0
10	3:242	8:166	9:129	11:279	39:238	61:41	75:149	91:192	109:0	110:0
10	0:179	6:76	10:148	17:180	44:308	79:232	87:161	103:48	110:0	111:0
10	0:187	2:149	13:149	15:206	19:50	21:338	43:214	72:13	111:0	112:0
10	2:75	5:68	12:346	16:20	39:232	54:192	70:207	77:175	112:0	113:0
10	0:277	6:335	9:244	14:62	19:329	38:161	66:214	88:34	113:0	114:0
10	1:24	8:188	10:354	16:103	46:230	78:159	86:15	99:215	114:0	115:0
10	2:298	6:278	12:239	18:205	36:161	61:196	68:263	82:34	115:0	116:0
10	0:45	5:169	8:62	15:166	27:303	47:199	77:356	97:324	116:0	117:0
10	2:332	7:153	12:130	13:29	18:269	56:234	64:215	87:117	117:0	118:0
10	0:137	8:269	14:293	17:225	21:200	46:260	50:272	71:255	118:0	119:0
10	2:76	5:39	7:41	16:282	37:117	76:273	88:241	103:306	119:0	120:0
10	3:124	8:197	12:90	15:295	32:317	35:177	45:262	67:258	120:0	121:0
10	0:264	5:307	9:103	13:251	19:310	51:298	86:11	100:85	121:0	122:0
10	3:13	4:142	10:115	12:69	17:260	23:285	52:187	66:325	122:0	123:0
10	1:325	6:183	11:55	16:206	29:175	64:205	73:357	80:264	123:0	124:0
10	0:12	3:304	8:110	13:226	18:10	40:157	88:199	95:19	124:0	125:0
10	4:266	7:339	14:262	15:154	25:135	57:267	70:98	79:88	125:0	126:0
10	5:296	9:143	11:226	18:126	23:287	49:114	78:283	102:309	126:0	127:0
10	4:2	8:278	10:158	16:301	31:189	36:3	83:73	92:88	127:0	128:0
10	3:279	5:97	12:152	15:227	63:260	80:0	89:134	103:109	128:0	129:0
10	1:257	7:253	9:155	13:247	27:46	54:335	75:282	96:57	129:0	130:0
10	0:117	4:262	8:54	15:30	59:299	73:146	77:178	84:242	130:0	131:0
10	1:286	5:21	7:241	16:48	19:345	26:318	44:122	69:63	131:0	132:0
10	0:236	4:353	9:64	14:112	32:347	47:66	76:139	101:179	132:0	133:0
10	3:120	5:250	13:4	17:143	20:204	49:46	81:29	99:18	133:0	134:0
10	1:210	4:182	8:39	15:278	16:163	30:46	56:354	100:332	134:0	135:0
10	2:237	4:100	10:56	12:222	43:267	65:98	75:36	88:29	135:0	136:0
10	1:220	5:239	13:283	15:282	34:357	58:223	77:10	92:167	136:0	137:0
10	4:149	6:239	12:359	16:349	27:339	50:168	85:220	98:92	137:0	138:0
10	0:333	5:337	13:15	17:258	33:15	41:211	78:101	91:79	138:0	139:0
10	2:271	7:44	9:320	14:176	45:36	73:47	81:92	89:111	139:0	140:0
10	1:106	7:137	13:214	17:231	24:184	42:144	65:166	82:215	140:0	141:0
10	1:58	4:267	8:97	14:198	19:200	23:108	63:202	93:176	141:0	142:0
10	2:227	7:238	9:155	18:336	34:174	41:89	79:269	99:310	142:0	143:0
10	4:174	5:173	11:135	14:240	54:83	67:215	82:127	87:350	143:0	144:0
10	2:228	9:239	10:229	17:29	30:0	48:173	85:100	95:350	144:0	145:0
10	1:9	4:48	10:355	15:30	19:271	61:337	74:10	89:315	145:0	146:0
10	0:251	6:311	7:53	17:272	58:320	69:107	75:26	86:273	146:0	147:0
10	2:148	5:97	11:150	15:237	24:101	52:309	78:21	94:144	147:0	148:0
10	3:26	6:344	10:231	19:198	33:59	56:197	70:320	76:63	148:0	149:0
10	2:206	3:192	9:250	14:41	44:167	75:80	83:198	98:260	149:0	150:0
10	0:53	4:95	13:311	16:145	28:39	45:179	68:231	76:240	150:0	151:0
10	0:106	5:287	8:199	17:121	18:354	38:304	60:348	96:212	151:0	152:0
10	3:272	4:284	9:222	16:95	53:309	74:295	78:306	87:63	152:0	153:0
10	1:33	6:29	11:252	17:229	22:5	41:174	72:215	76:327	153:0	154:0
10	3:19	5:171	7:34	14:104	36:38	59:266	79:36	100:79	154:0	155:0
10	1:271	6:190	9:22	18:289	20:64	50:279	77:97	94:359	155:0	156:0
10	3:63	5:126	10:135	13:62	29:151	38:231	79:7	90:13	156:0	157:0
10	1:169	6:170	7:333	16:72	55:253	67:161	78:323	84:238	157:0	158:0
10	0:89	3:200	9:316	17:359	19:304	28:100	64:132	92:8	158:0	159:0
10	2:191	6:140	8:265	14:326	18:180	26:315	51:46	74:105	159:0	160:0
10	1:136	3:320	10:267	16:99	34:178	57:5	75:93	101:357	160:0	161:0
10	2:64	6:268	12:98	19:218	31:260	42:81	71:275	84:192	161:0	162:0
10	0:47	7:85	11:344	13:210	18:294	30:256	62:212	66:61	162:0	163:0
10	1:58	8:264	11:223	12:74	25:202	53:2	76:87	98:338	163:0	164:0
10	2:127	4:191	9:291	17:39	55:64	80:84	86:295	97:97	164:0	165:0
10	3:22	6:50	11:80	15:154	26:38	60:193	65:280	79:149	165:0	166:0
