11	4:42	8:254	11:207	16:19	33:146	63:355	81:202	89:115	110:82	116:0	179:359
11	6:339	7:347	11:176	16:243	27:43	37:339	54:311	85:178	111:44	163:0	164:0
11	2:160	4:130	9:83	15:137	38:54	69:101	76:248	78:131	96:240	164:0	165:0
11	3:3	5:95	14:298	16:334	19:65	21:91	32:28	62:88	103:229	165:0	166:0
11	1:90	6:238	12:236	17:331	43:108	60:333	76:47	89:54	107:145	166:0	167:0
11	0:233	5:132	9:89	12:280	37:166	49:92	79:251	86:114	99:342	167:0	168:0
11	2:353	6:135	7:66	16:330	42:210	58:264	76:225	88:229	112:336	168:0	169:0
11	1:204	6:331	8:76	12:183	52:27	73:339	77:327	84:42	96:146	169:0	170:0
11	4:60	5:300	9:325	17:231	20:64	41:258	55:150	75:147	104:26	170:0	171:0
11	3:92	5:21	11:104	12:181	38:103	61:124	79:320	88:103	109:175	171:0	172:0
11	2:164	4:109	8:167	13:54	36:160	76:177	86:156	90:341	97:167	172:0	173:0
11	1:173	5:138	10:98	15:324	39:351	53:62	75:181	85:143	108:342	173:0	174:0
11	4:44	9:201	13:147	16:296	24:204	65:220	69:229	87:324	95:34	174:0	175:0
11	2:317	5:0	7:19	21:74	44:97	57:353	75:258	78:156	98:19	175:0	176:0
11	1:175	5:45	6:0	14:263	36:342	77:182	83:237	93:295	111:299	176:0	177:0
11	3:20	4:59	7:198	12:56	53:215	71:154	78:94	82:21	105:143	177:0	178:0
11	1:281	5:273	9:343	14:347	31:3	40:90	54:212	76:190	94:166	178:0	179:0
12	0:237	5:240	13:338	14:221	15:0	35:344	58:228	79:21	91:153	114:326	116:0	117:0
12	3:217	9:61	11:11	14:278	17:66	27:255	44:238	67:253	84:352	97:55	117:0	118:0
12	0:264	3:5	8:130	16:194	18:176	38:347	53:202	83:314	92:135	107:74	118:0	119:0
12	1:98	4:308	6:256	13:130	17:221	23:60	47:67	74:196	79:170	98:253	119:0	120:0
12	0:217	3:28	8:344	10:127	14:37	49:83	68:272	76:51	87:12	104:308	120:0	121:0
12	2:222	7:75	11:108	15:348	17:71	24:38	46:222	77:66	94:116	115:349	121:0	122:0
12	0:199	4:15	6:163	14:107	18:203	28:72	50:15	78:72	92:330	102:200	122:0	123:0
12	0:43	3:217	10:61	11:259	19:187	31:174	47:182	65:12	77:76	112:134	123:0	124:0
12	0:85	5:251	7:18	13:35	37:257	56:163	72:230	75:328	82:236	110:116	124:0	125:0
12	0:102	2:319	9:312	10:350	17:351	28:184	61:245	76:163	93:299	103:269	125:0	126:0
12	0:263	7:9	8:135	12:114	18:313	20:341	23:138	40:31	67:93	95:12	126:0	127:0
12	3:271	5:104	10:282	13:321	17:203	33:91	52:181	64:168	80:121	102:76	127:0	128:0
12	2:312	6:193	9:231	12:195	16:204	31:219	68:246	75:275	91:305	113:213	128:0	129:0
12	2:230	3:254	8:252	13:258	18:173	39:110	41:73	60:214	79:7	111:290	129:0	130:0
12	1:251	4:227	9:2	12:101	14:121	56:221	70:283	78:177	88:102	115:77	130:0	131:0
