13	1:353	4:242	9:91	14:264	24:26	50:174	76:330	81:120	89:343	92:275	114:85	124:0	179:359
13	1:22	5:332	8:298	18:273	40:81	57:258	73:346	79:112	81:181	87:287	107:116	155:0	156:0
13	6:284	7:153	15:201	29:273	56:196	74:259	77:304	78:311	84:343	85:359	114:48	156:0	157:0
13	1:211	5:223	9:302	10:294	36:208	66:246	71:179	80:164	82:214	87:312	120:253	157:0	158:0
13	2:97	6:38	12:139	39:139	65:185	75:58	78:34	81:352	86:9	99:114	108:86	158:0	159:0
13	4:282	5:163	6:101	16:185	21:66	63:227	79:309	82:46	88:90	98:256	116:79	159:0	160:0
13	2:275	5:168	7:132	17:28	25:354	55:70	76:113	84:93	87:322	90:228	104:320	160:0	161:0
13	1:252	6:230	9:111	13:86	26:202	54:325	69:296	78:323	83:13	89:12	117:142	161:0	162:0
13	0:115	5:115	9:137	12:55	38:52	68:168	80:2	85:154	87:45	100:322	106:277	162:0	163:0
13	1:183	4:147	15:281	35:280	59:24	61:334	76:236	77:13	83:112	87:337	121:309	163:0	164:0
13	3:68	6:351	9:237	25:69	44:256	49:312	77:353	81:343	86:186	97:85	112:185	164:0	165:0
13	2:27	7:25	27:12	42:175	57:43	75:42	76:8	82:352	89:241	95:43	108:122	165:0	166:0
13	0:288	5:105	6:41	8:196	48:159	54:46	74:304	80:12	81:210	88:185	119:18	166:0	167:0
13	0:138	3:94	9:211	16:295	30:5	52:316	73:58	78:198	83:318	87:287	105:96	167:0	168:0
13	1:20	5:122	7:326	20:70	38:13	60:241	65:232	79:227	84:41	88:140	113:6	168:0	169:0
13	3:192	4:208	8:22	11:188	40:143	55:51	78:106	82:127	88:340	100:247	118:199	169:0	170:0
13	1:14	5:93	9:226	39:125	47:247	72:292	77:230	83:91	85:253	89:344	107:157	170:0	171:0
13	2:24	8:183	13:343	33:144	53:265	75:94	79:35	85:108	88:305	93:236	112:165	171:0	172:0
13	4:223	5:84	9:159	11:244	51:316	70:340	77:239	84:269	87:103	99:2	122:95	172:0	173:0
13	1:63	3:25	8:322	26:47	29:302	47:11	67:263	79:33	82:246	87:168	102:53	173:0	174:0
13	0:218	4:185	7:181	41:104	68:80	76:292	83:358	88:175	89:32	97:222	120:254	174:0	175:0
13	1:94	6:94	9:216	27:171	30:355	56:257	81:216	82:9	88:18	90:337	109:61	175:0	176:0
13	3:292	8:194	10:204	22:285	34:173	62:154	76:142	79:89	83:251	99:182	118:178	176:0	177:0
13	2:151	5:35	24:224	45:321	59:145	75:5	78:87	81:278	86:14	91:176	110:247	177:0	178:0
13	2:307	6:209	7:43	22:120	41:298	53:50	77:215	80:256	87:185	98:65	105:76	178:0	179:0
14	1:157	6:348	17:176	36:109	52:175	67:87	75:283	77:342	83:32	86:50	100:3	115:86	124:0	125:0
14	2:253	3:284	9:10	32:155	43:279	61:174	75:153	80:128	82:14	89:44	104:187	122:94	125:0	126:0
14	1:172	6:113	7:165	11:333	37:303	44:347	66:205	76:66	83:344	85:220	103:351	110:106	126:0	127:0
14	3:254	4:76	5:325	15:223	23:11	53:242	79:286	82:171	86:302	94:47	96:2	117:302	127:0	128:0
14	0:181	3:56	8:36	31:204	56:267	63:139	75:101	80:126	85:268	89:195	101:150	113:58	128:0	129:0
14	0:309	4:58	5:50	37:292	43:25	69:106	77:28	79:179	84:166	88:44	92:341	108:71	129:0	130:0
14	0:292	7:269	9:104	21:314	33:252	40:313	59:181	76:69	80:39	86:228	102:33	123:221	130:0	131:0
14	2:269	4:231	5:127	8:171	38:339	44:300	62:11	74:64	79:60	82:195	89:65	115:70	131:0	132:0
14	1:64	3:83	8:325	18:166	27:139	58:13	70:9	78:267	80:227	85:125	98:270	121:309	132:0	133:0
14	2:179	7:299	16:240	26:51	50:257	64:221	75:245	77:51	81:277	84:337	94:218	118:198	133:0	134:0
14	3:261	8:5	9:157	17:178	37:98	41:261	60:347	78:159	81:22	85:204	95:33	111:32	134:0	135:0
14	0:194	2:87	7:205	24:130	49:207	70:192	76:61	82:66	83:285	88:48	101:335	106:245	135:0	136:0
14	0:129	4:31	8:317	14:333	35:343	39:29	64:231	78:221	79:354	86:312	104:237	119:353	136:0	137:0
14	2:186	3:345	20:305	21:266	46:147	58:87	75:34	77:230	81:341	87:26	96:349	120:253	137:0	138:0
14	4:216	5:351	7:48	13:28	31:0	52:85	72:231	79:70	80:128	84:232	95:127	110:105	138:0	139:0
14	2:81	3:6	8:314	12:96	23:43	50:305	71:123	77:233	83:69	89:274	90:43	123:221	139:0	140:0
14	0:4	5:191	6:320	22:102	46:62	61:79	78:334	84:158	86:56	88:207	101:281	107:352	140:0	141:0
14	2:215	7:161	8:345	19:348	30:16	51:110	69:258	76:289	85:210	86:159	97:257	116:239	141:0	142:0
14	0:341	3:322	6:84	9:70	23:301	42:261	64:318	80:168	87:28	88:57	91:66	115:246	142:0	143:0
14	0:92	4:37	8:311	29:179	46:311	65:347	76:284	81:346	83:199	89:287	103:329	109:307	143:0	144:0
14	1:31	3:272	9:270	19:234	31:67	45:338	68:25	77:63	82:337	84:303	93:206	119:193	144:0	145:0
14	2:265	4:134	10:214	28:258	49:316	73:13	75:32	78:255	80:234	85:350	102:97	117:142	145:0	146:0
14	0:105	5:332	6:266	19:135	32:96	55:312	58:198	79:109	83:123	86:327	111:36	114:88	146:0	147:0
