4	8:20	16:111	58:0	59:0
4	14:23	15:12	68:0	69:0
4	19:104	21:38	78:0	79:0
4	0:325	4:246	90:0	91:0
4	10:75	11:203	100:0	101:0
4	2:147	13:330	110:0	111:0
4	19:36	44:260	122:0	123:0
4	0:20	5:205	132:0	133:0
4	8:302	32:223	142:0	143:0
4	7:212	41:303	154:0	155:0
4	7:78	35:48	164:0	165:0
4	0:92	11:36	174:0	175:0
5	3:117	16:354	24:315	52:0	179:359
5	1:271	14:46	15:118	52:0	53:0
5	5:252	37:63	39:250	53:0	54:0
5	5:45	10:33	22:254	54:0	55:0
5	16:349	31:240	39:344	55:0	56:0
5	20:138	23:274	35:349	56:0	57:0
5	1:198	3:142	4:153	57:0	58:0
5	3:15	4:33	23:200	59:0	60:0
5	5:25	21:194	27:11	60:0	61:0
5	3:5	17:61	48:171	61:0	62:0
5	2:105	5:57	11:151	62:0	63:0
5	9:200	12:172	37:31	63:0	64:0
5	12:43	18:212	20:242	64:0	65:0
5	9:247	14:81	21:306	65:0	66:0
5	16:126	21:47	22:264	66:0	67:0
5	7:289	14:318	36:100	67:0	68:0
5	14:71	44:125	49:24	69:0	70:0
5	33:187	34:291	48:203	70:0	71:0
5	4:108	6:276	7:45	71:0	72:0
5	5:282	28:207	44:69	72:0	73:0
5	16:0	21:227	47:179	73:0	74:0
5	0:222	2:79	17:328	74:0	75:0
5	16:352	25:219	42:354	75:0	76:0
5	16:147	19:75	23:328	76:0	77:0
5	23:164	40:125	51:123	77:0	78:0
5	1:208	6:86	20:188	79:0	80:0
5	2:206	8:311	33:137	80:0	81:0
5	6:358	13:21	17:50	81:0	82:0
5	11:277	12:330	15:228	82:0	83:0
5	1:137	13:284	17:311	83:0	84:0
5	15:277	18:283	19:227	84:0	85:0
5	1:139	2:239	3:114	85:0	86:0
5	13:10	23:300	27:309	86:0	87:0
5	11:133	23:118	33:230	87:0	88:0
5	7:20	11:253	14:3	88:0	89:0
5	18:220	19:263	20:336	89:0	90:0
5	16:40	23:354	49:245	91:0	92:0
5	0:218	6:319	19:186	92:0	93:0
5	0:216	1:257	46:21	93:0	94:0
5	1:254	7:310	17:24	94:0	95:0
5	6:234	11:235	15:111	95:0	96:0
5	0:229	31:206	47:289	96:0	97:0
5	9:296	12:77	50:154	97:0	98:0
5	4:54	10:331	22:256	98:0	99:0
5	8:201	13:51	22:291	99:0	100:0
5	1:155	21:224	24:317	101:0	102:0
5	3:57	12:41	13:247	102:0	103:0
5	17:306	19:322	20:96	103:0	104:0
5	12:294	36:40	50:229	104:0	105:0
5	4:28	8:111	10:251	105:0	106:0
5	3:9	8:102	10:270	106:0	107:0
5	2:203	9:304	15:259	107:0	108:0
5	30:121	45:81	51:81	108:0	109:0
5	10:316	16:205	22:3	109:0	110:0
5	10:211	46:257	47:221	111:0	112:0
5	5:174	18:45	38:302	112:0	113:0
5	1:288	22:162	30:76	113:0	114:0
5	17:112	24:176	39:67	114:0	115:0
5	8:84	23:136	26:309	115:0	116:0
5	1:243	7:210	22:134	116:0	117:0
5	3:48	9:307	19:292	117:0	118:0
5	34:73	40:23	42:13	118:0	119:0
5	21:228	28:99	29:338	119:0	120:0
5	2:196	15:162	34:145	120:0	121:0
5	12:288	21:241	43:40	121:0	122:0
5	2:67	19:294	21:25	123:0	124:0
5	23:312	31:188	36:91	124:0	125:0
5	20:30	25:54	32:39	125:0	126:0
5	20:181	22:230	43:100	126:0	127:0
5	0:259	2:152	11:289	127:0	128:0
5	6:301	8:69	20:79	128:0	129:0
5	14:355	17:236	21:243	129:0	130:0
5	20:163	21:236	29:119	130:0	131:0
5	2:113	18:347	22:275	131:0	132:0
5	9:20	18:214	19:259	133:0	134:0
5	18:311	19:350	22:246	134:0	135:0
5	5:259	18:346	41:331	135:0	136:0
5	16:89	18:202	23:301	136:0	137:0
5	0:140	21:293	37:128	137:0	138:0
5	6:351	12:47	16:110	138:0	139:0
5	3:89	4:28	14:264	139:0	140:0
5	13:270	27:306	42:58	140:0	141:0
5	3:155	5:329	14:8	141:0	142:0
5	10:196	15:96	35:357	143:0	144:0
5	6:60	7:267	12:188	144:0	145:0
5	6:86	11:316	15:197	145:0	146:0
5	10:234	22:321	45:102	146:0	147:0
5	2:186	7:173	14:33	147:0	148:0
5	38:184	49:209	50:309	148:0	149:0
5	10:122	14:264	45:230	149:0	150:0
5	7:338	8:328	9:140	150:0	151:0
5	8:79	9:325	18:359	151:0	152:0
5	9:135	17:99	25:192	152:0	153:0
5	1:171	9:41	20:350	153:0	154:0
5	4:68	5:299	9:223	155:0	156:0
5	0:115	10:284	18:57	156:0	157:0
5	0:242	3:342	11:5	157:0	158:0
5	6:318	8:129	46:335	158:0	159:0
5	7:234	20:253	43:140	159:0	160:0
5	4:143	13:128	15:273	160:0	161:0
5	4:229	8:3	13:319	161:0	162:0
5	0:13	12:108	13:257	162:0	163:0
5	12:256	48:86	51:28	163:0	164:0
5	5:219	22:286	23:119	165:0	166:0
5	6:34	7:41	28:218	166:0	167:0
5	6:28	14:193	17:155	167:0	168:0
5	4:237	12:124	16:244	168:0	169:0
5	15:64	19:293	32:248	169:0	170:0
5	1:357	11:255	13:6	170:0	171:0
5	17:86	18:277	23:167	171:0	172:0
5	4:134	9:342	26:265	172:0	173:0
5	11:241	30:176	40:198	173:0	174:0
5	20:130	38:269	41:186	175:0	176:0
5	5:335	10:11	17:339	176:0	177:0
5	15:86	26:172	29:217	177:0	178:0
5	2:200	3:300	13:156	178:0	179:0
