19	0:237	2:326	5:250	9:332	14:34	17:159	18:130	23:346	39:206	55:40	75:292	82:148	87:19	98:357	106:143	117:162	130:79	140:0	179:359
19	0:359	3:257	6:164	9:181	13:49	14:226	19:76	24:276	29:222	39:80	49:342	60:91	69:326	85:267	100:268	112:188	129:228	165:0	166:0
19	2:242	4:169	6:308	8:144	15:294	20:136	21:345	23:67	27:253	38:33	46:359	70:336	74:54	80:99	109:42	117:269	139:101	166:0	167:0
19	3:34	5:111	7:134	12:179	13:210	18:326	19:202	22:335	31:211	35:269	55:196	62:299	83:101	95:212	111:350	114:64	132:105	167:0	168:0
19	2:67	4:194	8:142	9:274	14:292	15:340	20:239	21:334	23:293	34:126	51:146	60:80	89:55	96:117	104:280	122:117	128:266	168:0	169:0
19	3:263	5:311	7:176	10:27	12:87	18:148	21:209	22:137	32:199	42:337	59:250	74:335	75:227	85:53	105:69	113:39	137:278	169:0	170:0
19	2:151	6:211	8:147	9:236	14:139	16:225	20:71	24:125	29:51	43:38	45:242	56:257	67:274	79:41	95:238	123:51	127:233	170:0	171:0
19	2:195	5:210	7:297	8:130	11:325	15:319	20:197	23:6	36:108	52:323	59:291	68:272	78:233	86:321	97:12	112:56	131:292	171:0	172:0
19	1:311	3:51	6:91	7:160	10:167	13:310	21:137	24:336	26:263	37:207	41:183	47:95	73:67	79:245	110:282	130:77	132:147	172:0	173:0
19	4:155	5:14	8:95	11:34	15:149	18:273	20:228	27:286	33:257	40:111	43:99	62:68	75:129	90:139	100:213	116:246	135:226	173:0	174:0
19	2:278	3:206	7:11	9:57	10:70	13:348	19:149	21:254	24:107	51:155	54:102	70:129	77:327	78:87	101:41	120:114	136:41	174:0	175:0
19	3:118	5:302	6:20	9:133	12:190	16:295	20:131	22:2	26:28	38:43	68:40	87:203	88:207	91:120	107:133	119:209	128:179	175:0	176:0
19	2:123	4:100	9:65	10:316	13:335	15:284	21:155	23:61	28:300	42:150	57:222	61:344	67:91	76:143	114:201	116:162	129:18	176:0	177:0
19	1:135	5:12	6:78	11:79	13:102	14:104	18:309	24:116	33:38	36:247	48:331	63:303	70:171	88:285	103:195	118:20	134:248	177:0	178:0
19	1:209	4:174	6:310	10:243	16:182	17:5	20:131	22:23	27:25	44:271	58:202	71:235	76:60	89:104	101:99	111:102	137:294	178:0	179:0
20	1:44	2:66	6:279	8:239	10:67	14:277	17:139	19:346	24:351	34:40	59:203	84:260	88:212	90:341	99:268	102:349	114:344	133:41	140:0	141:0
20	1:245	3:169	5:331	7:295	11:203	14:227	17:325	19:153	23:177	33:3	41:40	53:183	57:156	74:342	81:58	108:163	124:26	136:61	141:0	142:0
20	0:126	3:121	8:247	10:340	13:181	16:292	18:158	22:39	30:215	48:261	52:245	73:95	75:233	80:215	94:226	102:321	122:46	127:112	142:0	143:0
20	0:180	1:167	4:354	7:89	11:33	13:284	19:265	23:345	24:288	36:152	45:103	50:167	62:288	89:50	91:10	113:81	117:245	138:291	143:0	144:0
20	1:64	3:261	6:317	8:290	12:242	14:318	19:283	25:334	26:355	35:110	42:315	58:296	66:53	82:34	94:341	115:256	120:158	131:314	144:0	145:0
20	1:6	2:309	6:208	8:69	10:134	15:32	17:10	21:220	30:274	39:39	40:230	50:129	65:3	81:302	95:17	107:71	125:346	134:247	145:0	146:0
20	1:119	4:126	6:322	7:84	12:288	16:63	19:276	22:158	28:201	38:14	54:263	63:358	79:20	84:163	98:350	112:349	122:147	135:199	146:0	147:0
20	2:112	4:205	8:175	9:127	14:162	15:350	17:200	21:284	24:15	32:261	41:58	49:78	68:96	77:35	94:291	111:305	121:157	126:259	147:0	148:0
20	0:168	1:171	6:332	7:284	12:205	13:142	16:89	19:205	23:305	35:297	56:221	65:336	85:112	88:197	93:104	104:256	116:61	139:200	148:0	149:0
20	0:227	3:73	4:261	9:89	12:262	16:298	18:233	22:201	27:102	34:138	47:91	50:156	72:230	77:107	103:142	106:333	124:7	131:190	149:0	150:0
20	1:24	3:256	7:345	8:41	11:47	17:13	19:295	23:203	28:125	37:348	43:250	58:208	69:186	78:111	99:296	109:250	121:27	128:337	150:0	151:0
20	0:172	4:55	6:82	9:73	11:200	13:141	16:71	20:197	24:63	35:69	57:46	64:103	77:199	86:103	98:32	105:179	125:241	133:29	151:0	152:0
20	2:156	3:276	5:93	9:220	12:310	15:230	17:301	22:229	29:194	37:40	40:82	53:34	71:22	84:253	97:326	104:77	118:304	138:89	152:0	153:0
20	0:93	2:261	4:49	8:112	11:272	14:203	18:115	20:216	23:109	30:79	54:133	64:270	72:314	76:125	85:267	115:247	119:255	132:108	153:0	154:0
20	0:132	2:197	7:198	9:303	12:296	16:186	20:248	21:285	31:163	37:65	44:173	49:238	66:22	80:322	90:267	108:47	113:148	134:130	154:0	155:0
20	1:294	3:10	5:127	10:151	11:162	17:194	18:307	22:258	26:132	36:43	46:234	60:162	64:336	81:131	93:165	106:246	123:255	126:168	155:0	156:0
20	3:127	4:208	7:86	8:257	15:162	16:320	20:299	21:245	25:235	32:36	45:108	55:275	69:24	76:276	92:129	102:335	118:245	136:173	156:0	157:0
20	0:205	4:57	5:76	9:164	12:223	14:266	17:65	22:120	24:337	33:278	52:83	66:165	84:114	87:297	96:69	110:220	125:288	139:123	157:0	158:0
20	0:337	1:111	7:227	8:136	11:170	13:94	19:319	21:144	31:324	32:167	46:61	71:17	82:337	86:200	100:160	103:101	119:333	127:347	158:0	159:0
20	0:276	4:298	6:8	10:321	11:181	16:163	18:36	24:32	25:20	38:328	61:49	65:281	83:351	89:265	97:239	108:281	121:17	130:322	159:0	160:0
20	1:19	2:179	5:60	7:307	10:184	15:226	17:122	19:210	23:250	31:130	48:131	72:79	79:141	87:358	92:298	105:331	120:349	129:13	160:0	161:0
20	0:339	5:46	6:313	11:240	12:134	16:49	18:82	22:151	25:114	39:222	51:197	67:73	80:159	86:209	99:339	110:166	126:152	138:43	161:0	162:0
20	1:41	2:275	4:70	9:33	10:192	15:268	20:280	23:344	29:169	63:126	73:54	78:171	82:65	83:237	93:280	107:337	124:196	137:267	162:0	163:0
20	0:98	3:201	5:307	9:357	13:295	14:349	17:193	22:136	24:56	34:107	44:136	56:156	61:281	81:155	92:317	109:287	115:72	135:89	163:0	164:0
20	0:230	5:344	7:281	8:102	12:220	15:272	18:70	21:247	28:98	30:290	47:21	53:11	83:350	91:236	96:192	101:174	123:208	133:120	164:0	165:0
