10	6:228	8:7	11:51	17:171	21:23	40:8	62:6	96:10	167:0	168:0
11	0:165	6:0	10:72	13:16	17:0	34:164	37:222	71:22	94:0	108:0	179:359
11	2:359	6:155	9:0	11:21	18:207	22:100	51:145	82:312	97:326	108:0	109:0
11	0:142	4:190	11:53	14:268	15:5	31:0	42:0	72:29	95:33	109:0	110:0
11	0:22	7:60	8:4	11:342	17:151	34:69	44:104	78:28	105:358	110:0	111:0
11	0:314	4:12	9:237	13:44	15:19	27:8	48:35	72:1	86:1	111:0	112:0
11	3:340	6:1	7:23	13:227	18:41	20:89	47:12	67:256	91:29	112:0	113:0
11	0:91	6:243	9:5	12:306	16:280	25:293	57:316	81:127	99:154	113:0	114:0
11	1:8	4:2	8:348	14:83	16:1	29:67	50:0	71:251	103:9	114:0	115:0
11	2:348	5:36	7:21	14:340	17:2	32:199	53:0	69:24	103:17	115:0	116:0
11	0:43	6:304	8:1	15:85	17:87	34:96	52:234	77:283	88:309	116:0	117:0
11	0:75	6:207	9:1	14:327	18:21	31:189	42:140	72:5	87:101	117:0	118:0
11	0:119	3:71	10:109	13:47	18:257	19:338	54:83	74:1	103:237	118:0	119:0
11	0:174	6:213	11:212	12:0	18:4	31:341	44:15	68:126	105:222	119:0	120:0
11	2:32	5:26	7:103	12:209	15:2	23:205	53:31	71:12	86:0	120:0	121:0
11	3:99	4:153	11:27	12:123	16:191	32:2	50:346	75:267	107:49	121:0	122:0
11	2:273	6:1	10:50	13:116	16:149	33:162	45:331	69:54	88:31	122:0	123:0
11	1:144	5:219	8:34	11:39	17:25	21:20	46:107	73:238	99:342	123:0	124:0
11	1:78	7:25	10:37	12:75	15:71	30:183	58:85	60:1	101:157	124:0	125:0
11	3:98	7:100	9:104	14:218	15:0	28:45	43:241	83:135	95:78	125:0	126:0
11	2:15	7:91	9:0	11:103	16:221	27:160	59:19	78:206	94:2	126:0	127:0
11	3:137	7:270	8:105	13:70	17:262	21:256	51:1	66:173	93:91	127:0	128:0
11	2:254	5:229	10:9	14:0	17:79	24:125	41:1	63:78	96:7	128:0	129:0
11	1:263	4:220	10:76	11:23	16:97	23:83	36:129	79:194	99:289	129:0	130:0
11	0:137	3:27	8:133	14:21	18:35	19:7	38:269	65:149	104:60	130:0	131:0
11	1:183	7:75	8:1	14:6	15:128	19:274	54:43	61:95	84:52	131:0	132:0
11	0:161	5:4	8:152	14:164	17:0	30:1	52:120	60:223	85:46	132:0	133:0
11	2:187	6:72	7:11	11:2	18:52	19:43	37:183	83:22	106:242	133:0	134:0
11	3:293	6:16	10:12	11:97	17:349	23:66	43:276	67:332	92:310	134:0	135:0
11	1:1	5:0	8:309	14:168	17:228	18:276	55:297	74:58	100:24	135:0	136:0
11	2:352	5:87	7:0	14:0	15:3	31:59	58:91	61:80	97:47	136:0	137:0
11	1:5	4:4	9:80	13:135	18:89	30:177	49:102	68:10	89:0	137:0	138:0
11	0:89	3:169	8:2	12:12	17:2	29:16	40:104	70:230	98:0	138:0	139:0
11	3:233	4:127	10:256	13:1	15:96	26:129	54:226	79:210	86:76	139:0	140:0
11	1:146	4:328	8:116	12:183	18:15	24:30	59:186	73:333	85:152	140:0	141:0
11	1:28	3:337	8:28	13:5	18:0	22:273	37:285	63:269	88:155	141:0	142:0
11	1:259	4:272	7:16	12:174	16:1	25:329	53:1	61:57	85:245	142:0	143:0
11	3:232	6:292	9:4	13:239	17:55	35:167	52:11	75:21	91:2	143:0	144:0
11	3:29	5:313	9:104	14:178	16:270	35:58	41:16	64:60	100:276	144:0	145:0
11	2:131	5:44	10:157	14:2	15:33	36:234	56:151	62:226	101:4	145:0	146:0
11	0:216	5:36	10:233	12:43	18:302	27:118	49:89	75:315	93:286	146:0	147:0
11	2:5	6:27	9:1	13:93	18:0	26:179	45:198	70:110	87:189	147:0	148:0
11	0:359	7:338	9:201	12:20	18:144	24:173	55:95	66:31	100:167	148:0	149:0
11	0:145	5:0	11:308	12:139	15:251	20:50	47:4	66:2	96:247	149:0	150:0
11	3:129	6:30	11:19	14:268	17:115	26:238	58:79	82:354	106:23	150:0	151:0
11	1:274	6:90	8:44	13:140	18:0	33:179	56:1	76:2	93:348	151:0	152:0
11	0:339	4:282	8:177	12:96	16:81	18:250	48:71	62:353	90:54	152:0	153:0
11	1:62	4:36	8:4	13:16	16:297	28:131	39:70	64:73	104:267	153:0	154:0
11	2:181	5:312	9:4	12:7	15:13	28:77	41:58	74:268	102:0	154:0	155:0
11	2:305	5:4	10:59	11:0	17:256	35:2	51:267	78:0	102:48	155:0	156:0
11	0:274	5:118	10:88	13:69	16:124	32:3	59:2	80:112	84:1	156:0	157:0
11	2:217	6:71	8:202	11:355	17:15	20:339	46:119	65:3	107:94	157:0	158:0
11	0:167	4:75	7:8	12:0	18:12	22:141	56:283	76:26	89:20	158:0	159:0
11	2:44	5:141	9:242	12:199	16:52	20:150	36:88	73:3	84:198	159:0	160:0
11	1:106	6:337	7:56	13:312	15:0	22:128	46:209	82:321	95:11	160:0	161:0
11	2:86	5:334	9:278	14:35	17:3	34:227	42:199	67:24	94:265	161:0	162:0
11	1:357	7:127	8:0	15:221	16:76	23:150	50:6	60:262	87:4	162:0	163:0
11	3:301	4:203	9:90	11:71	15:58	30:265	55:0	64:316	102:7	163:0	164:0
11	3:25	7:269	10:123	14:49	16:4	36:278	38:202	83:49	107:19	164:0	165:0
11	2:76	5:29	10:254	11:0	15:1	29:237	37:0	63:1	105:25	165:0	166:0
11	3:49	5:89	10:8	12:270	15:6	24:0	43:30	70:90	90:26	166:0	167:0
11	1:259	4:13	9:39	13:201	16:19	29:354	44:54	76:12	98:45	168:0	169:0
11	1:1	5:242	9:10	12:2	16:279	26:232	47:235	69:15	91:5	169:0	170:0
11	1:55	3:237	10:129	13:42	17:254	21:182	57:123	80:330	92:2	170:0	171:0
11	0:282	6:278	7:103	14:102	16:304	28:276	45:328	68:3	98:98	171:0	172:0
11	1:342	4:1	11:41	14:297	18:239	33:147	48:104	65:352	104:45	172:0	173:0
11	3:121	4:343	8:0	13:5	15:62	32:65	39:259	77:190	101:0	173:0	174:0
11	1:112	6:262	9:1	11:40	17:284	25:75	39:323	77:1	92:175	174:0	175:0
11	2:172	4:236	10:105	12:246	16:23	35:358	49:92	80:7	97:177	175:0	176:0
11	2:140	4:209	9:127	14:0	18:36	33:244	40:163	79:3	106:24	176:0	177:0
11	3:56	4:27	10:113	13:65	15:223	27:36	38:86	81:77	89:2	177:0	178:0
11	2:211	7:81	10:238	12:166	16:177	25:194	57:39	81:123	90:304	178:0	179:0
