3	6:87	64:0	67:0
3	5:85	102:0	105:0
3	18:108	109:0	112:0
3	2:75	70:0	73:0
3	0:76	71:0	74:0
3	10:22	116:0	119:0
3	8:86	63:0	66:0
3	1:75	69:0	72:0
3	3:86	103:0	106:0
3	4:74	85:0	88:0
3	0:49	105:0	108:0
3	2:49	107:0	110:0
3	5:74	86:0	89:0
3	10:39	42:0	45:0
3	11:39	43:0	46:0
3	1:49	106:0	109:0
3	9:40	44:0	47:0
3	19:108	110:0	113:0
3	0:31	66:0	69:0
3	2:31	68:0	71:0
3	20:107	108:0	111:0
3	11:21	114:0	117:0
3	3:74	84:0	87:0
3	1:31	67:0	70:0
3	4:86	104:0	107:0
3	9:22	115:0	118:0
3	7:87	65:0	68:0
4	2:62	6:60	119:0	122:0
4	3:22	11:96	131:0	134:0
4	5:21	10:96	130:0	133:0
4	12:21	26:74	53:0	56:0
4	0:119	9:86	28:0	132:0
4	6:49	7:80	48:0	51:0
4	1:69	17:67	95:0	98:0
4	2:117	5:43	73:0	76:0
4	8:6	10:10	99:0	102:0
4	4:45	11:64	39:0	42:0
4	7:53	23:98	34:0	37:0
4	17:19	25:2	78:0	81:0
4	2:61	3:92	58:0	61:0
4	8:39	20:7	127:0	130:0
4	6:7	11:10	100:0	103:0
4	0:62	4:92	59:0	62:0
4	1:4	22:81	112:0	115:0
4	13:20	24:74	51:0	54:0
4	3:88	5:17	31:0	34:0
4	7:87	10:23	87:0	90:0
4	9:57	17:88	27:0	30:0
4	0:105	2:74	37:0	40:0
4	1:62	8:59	118:0	121:0
4	3:49	14:91	81:0	84:0
4	4:65	7:72	97:0	100:0
4	11:74	24:29	60:0	63:0
4	6:88	9:24	89:0	92:0
4	1:74	2:104	36:0	39:0
4	8:20	8:95	55:0	58:0
4	4:17	5:87	30:0	33:0
4	11:34	22:63	124:0	127:0
4	9:18	13:48	122:0	125:0
4	10:34	21:63	123:0	126:0
4	6:40	18:8	128:0	131:0
4	3:18	4:88	32:0	35:0
4	2:16	5:84	46:0	49:0
4	9:90	20:9	92:0	95:0
4	10:57	15:89	28:0	31:0
4	14:20	25:74	52:0	55:0
4	0:62	7:59	117:0	120:0
4	5:65	8:72	98:0	101:0
4	6:21	6:96	56:0	59:0
4	3:46	10:65	41:0	44:0
4	4:49	12:92	82:0	85:0
4	7:20	7:95	54:0	57:0
4	0:69	16:67	94:0	97:0
4	5:24	8:16	75:0	78:0
4	10:75	26:29	62:0	65:0
4	2:4	23:81	113:0	116:0
4	4:21	9:96	129:0	132:0
4	0:118	3:44	74:0	77:0
4	8:53	21:99	35:0	38:0
4	11:57	16:89	29:0	32:0
4	15:20	26:2	79:0	82:0
4	5:45	9:65	40:0	43:0
4	3:65	6:72	96:0	99:0
4	10:17	14:47	120:0	123:0
4	8:87	11:23	88:0	91:0
4	16:20	24:3	80:0	83:0
4	9:75	25:29	61:0	64:0
4	1:61	5:91	57:0	60:0
4	7:39	19:7	126:0	129:0
4	10:89	18:9	90:0	93:0
4	3:25	6:17	76:0	79:0
4	2:118	11:85	27:0	134:119
4	0:75	1:105	38:0	41:0
4	9:35	23:63	125:0	128:0
4	5:49	13:92	83:0	86:0
4	6:81	8:49	50:0	53:0
4	4:25	7:17	77:0	80:0
4	1:119	10:86	29:0	133:0
4	11:17	12:48	121:0	124:0
4	0:4	21:81	111:0	114:0
4	6:53	22:98	33:0	36:0
4	7:49	8:80	49:0	52:0
4	1:16	4:84	45:0	48:0
4	2:68	15:67	93:0	96:0
4	0:17	3:85	47:0	50:0
4	11:89	19:9	91:0	94:0
4	7:7	9:11	101:0	104:0
4	1:117	4:43	72:0	75:0
