8	10:89	26:10	43:30	123:48	239:38	282:50	528:0	531:0
8	15:106	23:40	85:110	238:96	258:111	274:43	522:0	525:0
8	18:1	32:22	46:60	116:16	167:7	226:37	518:0	521:0
8	13:98	75:57	220:13	232:21	235:87	260:57	514:0	517:0
8	11:89	24:11	44:30	124:48	237:39	283:50	529:0	532:0
8	16:106	21:41	86:110	239:96	259:111	275:43	523:0	526:0
8	9:90	25:11	42:31	125:48	238:39	284:50	530:0	533:0
8	8:88	195:44	209:5	225:61	261:71	268:86	534:0	537:0
8	7:79	20:12	112:21	181:20	246:20	249:45	510:0	513:0
8	19:0	30:22	47:59	114:16	165:7	227:36	516:0	519:0
8	14:98	76:57	221:13	233:21	236:87	258:58	515:0	518:0
8	10:93	25:86	105:12	162:41	237:114	247:3	300:0	539:119
8	12:76	40:119	119:58	177:79	225:93	253:2	527:0	530:0
8	13:33	26:109	96:94	249:2	263:38	277:21	521:0	524:0
8	4:50	21:88	116:81	172:90	241:107	264:38	531:0	534:0
8	6:89	196:44	207:6	226:61	262:71	269:86	535:0	538:0
8	14:32	24:109	97:93	250:1	261:38	278:20	519:0	522:0
8	12:98	77:56	219:13	231:21	234:87	259:57	513:0	516:0
8	20:0	31:22	45:60	115:16	166:7	225:37	517:0	520:0
8	11:93	26:86	106:12	163:41	238:114	248:3	301:0	537:0
8	13:75	41:118	117:58	178:78	226:92	254:1	525:0	528:0
8	5:50	22:88	114:82	173:90	242:107	265:38	532:0	535:0
8	7:89	197:44	208:6	227:61	263:71	267:87	536:0	539:0
8	12:33	25:109	98:93	251:1	262:38	276:21	520:0	523:0
8	8:79	18:13	113:21	182:20	247:20	250:45	511:0	514:0
8	9:94	24:87	107:12	164:41	239:114	246:4	302:0	538:0
8	17:106	22:41	84:111	237:97	260:111	273:44	524:0	527:0
8	14:75	39:119	118:58	179:78	227:92	252:2	526:0	529:0
8	3:51	23:88	115:82	171:91	240:108	266:38	533:0	536:0
8	6:80	19:13	111:22	180:21	248:20	251:45	512:0	515:0
9	20:53	21:47	49:2	161:111	230:107	243:50	283:24	483:0	486:0
9	8:44	15:68	37:115	159:77	216:32	238:56	263:28	400:0	403:0
9	1:86	26:63	86:1	152:70	190:87	227:99	246:12	361:0	364:0
9	3:42	13:66	45:66	160:75	188:101	236:93	268:98	375:0	378:0
9	10:87	16:81	63:98	150:105	230:58	250:9	298:9	461:0	464:0
9	18:54	22:47	50:2	159:112	228:108	244:50	284:24	484:0	487:0
9	12:114	21:4	32:54	127:40	202:117	231:103	238:7	363:0	366:0
9	4:42	14:66	46:66	161:75	186:102	234:94	269:98	376:0	379:0
9	2:54	16:101	29:73	131:51	222:88	248:37	264:119	408:0	411:0
9	11:86	17:80	64:97	151:104	228:58	251:8	299:8	459:0	462:0
9	19:54	23:47	48:3	160:112	229:108	245:50	282:25	485:0	488:0
9	5:42	12:67	47:66	159:76	187:102	235:94	267:99	377:0	380:0
9	2:86	24:64	84:2	150:71	191:87	225:100	247:12	362:0	365:0
9	11:71	20:17	28:79	58:54	146:84	185:113	241:61	396:0	399:0
9	9:87	15:81	65:97	152:104	229:58	249:9	297:9	460:0	463:0
9	7:53	25:81	144:99	210:16	231:11	253:103	265:69	501:0	504:0
9	8:12	26:64	46:17	169:42	200:96	239:52	243:48	353:0	356:0
9	16:119	19:100	90:15	132:111	236:21	255:19	284:7	358:0	361:0
9	9:109	22:70	70:42	112:106	225:106	266:87	280:10	380:0	383:0
9	11:100	20:111	68:92	174:13	231:45	248:51	273:115	451:0	454:0
9	7:88	30:67	155:56	223:60	228:42	234:6	250:40	467:0	470:0
9	1:108	54:11	104:58	187:23	226:92	237:55	253:71	474:0	477:0
9	4:22	10:75	158:35	181:85	232:117	256:14	269:10	350:0	353:0
9	11:108	21:70	69:42	111:106	227:105	265:87	279:10	379:0	382:0
9	2:109	20:10	62:87	141:29	199:11	235:17	254:119	391:0	394:0
9	9:53	25:99	52:39	104:66	206:79	242:74	262:22	456:0	459:0
