9	5:0	29:109	36:92	56:48	72:93	113:67	179:118	313:0	537:0
9	13:57	31:42	35:47	59:115	61:110	122:96	290:93	529:0	532:0
9	18:58	23:37	34:23	57:11	142:48	249:26	271:43	535:0	538:0
9	10:25	22:93	46:35	54:57	93:2	257:74	280:63	527:0	530:0
9	26:60	27:88	50:7	67:47	176:19	188:22	246:89	531:0	534:0
9	19:58	21:38	35:23	58:11	143:48	250:26	272:43	536:0	539:0
9	11:24	23:92	47:34	55:56	94:1	255:74	281:62	525:0	528:0
9	14:57	32:42	33:48	57:116	62:110	120:97	288:94	530:0	533:0
9	24:61	28:88	48:8	68:47	174:20	186:23	247:89	532:0	535:0
9	20:88	25:1	35:114	58:83	112:36	173:50	245:86	524:0	527:0
9	9:25	21:93	45:35	56:56	95:1	256:74	279:63	526:0	529:0
9	18:88	26:0	33:114	59:82	113:35	171:50	243:86	522:0	525:0
9	3:1	27:110	37:92	54:49	73:93	111:68	177:119	314:0	538:0
9	12:57	30:42	34:47	58:115	60:110	121:96	289:93	528:0	531:0
9	25:61	29:88	49:8	66:48	175:20	187:23	248:89	533:0	536:0
9	4:0	28:109	38:91	55:48	74:92	112:67	178:118	312:0	539:119
9	20:57	22:37	33:23	59:10	141:48	251:25	270:43	534:0	537:0
9	19:88	24:1	34:114	57:83	111:36	172:50	244:86	523:0	526:0
10	6:91	18:62	31:119	42:108	107:37	149:94	186:23	241:76	324:0	327:0
10	2:35	15:96	26:66	53:40	55:118	116:101	181:116	288:71	454:0	457:0
10	4:29	7:79	41:85	43:113	59:26	180:30	256:110	308:111	313:0	316:0
10	0:36	16:96	24:67	51:41	56:118	114:102	182:116	289:71	455:0	458:0
10	6:25	17:22	37:115	50:6	118:77	162:64	210:69	232:58	336:0	339:0
10	2:59	21:27	35:80	58:18	105:37	138:103	233:37	287:78	498:0	501:0
10	8:75	22:79	29:51	54:112	102:58	125:29	239:89	298:103	426:0	429:0
10	1:18	13:32	40:104	48:49	86:13	136:60	206:77	230:80	452:0	455:0
10	4:90	19:63	28:7	55:96	61:21	150:93	232:32	284:119	465:0	468:0
10	3:20	14:89	24:33	44:66	58:67	71:36	189:68	280:59	425:0	428:0
10	5:90	20:63	29:7	56:96	62:21	151:93	233:32	282:0	466:0	469:0
10	0:60	22:27	33:81	59:18	106:37	139:103	231:38	285:79	499:0	502:0
10	9:93	16:32	38:50	47:75	191:86	240:0	269:44	310:36	384:0	387:0
10	2:29	11:66	28:105	53:119	58:101	85:33	192:44	278:2	474:0	477:0
10	7:64	19:47	24:89	43:109	56:60	80:105	153:16	224:35	479:0	482:0
10	0:16	23:28	33:115	40:70	55:98	92:85	186:71	200:20	487:0	490:0
10	3:91	18:64	27:8	54:97	60:22	152:93	231:33	283:0	467:0	470:0
10	5:70	13:61	26:13	46:93	48:55	90:16	170:118	301:111	404:0	407:0
10	2:59	19:25	31:49	51:60	134:102	238:77	263:53	309:16	330:0	333:0
10	1:60	23:27	34:81	57:19	107:37	140:103	232:38	286:79	500:0	503:0
10	3:36	22:46	39:72	53:77	72:62	128:48	195:56	247:72	422:0	425:0
10	0:63	7:50	40:50	46:69	58:17	64:113	129:72	216:5	335:0	338:0
10	12:6	21:65	31:52	55:45	66:54	118:107	214:35	243:35	316:0	319:0
10	13:58	15:58	34:45	43:80	162:28	201:72	248:42	261:117	430:0	433:0
10	3:74	16:80	39:95	47:94	104:119	174:75	231:4	277:56	410:0	413:0
10	2:83	20:103	23:17	53:90	176:106	209:35	227:8	258:91	438:0	441:0
10	1:35	17:95	25:66	52:40	54:118	115:101	180:116	290:70	453:0	456:0
10	5:11	19:10	35:84	51:77	67:2	125:58	217:72	230:109	461:0	464:0
10	10:6	15:57	22:11	44:34	110:12	179:88	237:12	301:26	462:0	465:0
10	0:18	12:32	39:104	50:48	85:13	135:60	205:77	229:80	451:0	454:0
10	1:16	21:29	34:115	41:70	56:98	90:86	187:71	198:21	488:0	491:0
10	5:95	16:7	23:80	49:16	58:115	79:106	132:41	208:21	394:0	397:0
10	7:99	20:92	38:79	55:68	110:53	184:65	206:87	247:11	345:0	348:0
10	10:113	22:104	30:119	52:111	64:80	155:114	233:49	307:85	513:0	516:0
10	3:96	17:7	21:81	50:16	59:115	80:106	133:41	209:21	395:0	398:0
10	5:29	8:79	39:86	44:113	57:27	181:30	257:110	306:112	314:0	317:0
10	2:111	15:113	41:5	53:86	101:5	123:71	235:34	273:27	416:0	419:0
10	9:81	26:55	28:43	34:93	119:79	183:14	225:50	274:64	328:0	331:0
10	3:109	20:61	33:19	49:69	87:59	192:69	221:119	242:88	371:0	374:0
10	10:21	16:42	31:45	39:21	89:50	115:77	239:2	272:4	469:0	472:0
10	7:42	14:63	27:97	51:13	166:21	240:28	259:98	292:32	492:0	495:0
10	0:31	18:30	24:7	43:104	55:102	157:62	269:13	305:14	509:0	512:0
10	6:43	13:64	29:97	53:13	165:22	242:28	258:99	291:33	494:0	497:0
10	10:77	16:117	34:7	52:80	76:84	131:95	206:31	253:6	504:0	507:0
10	8:91	20:62	30:0	44:108	106:38	148:95	188:23	240:77	326:0	329:0
10	3:70	14:60	24:13	47:92	49:54	91:15	168:118	302:110	402:0	405:0
10	11:80	25:55	27:43	33:93	118:79	185:13	227:49	273:64	327:0	330:0
10	10:13	12:59	38:38	43:67	144:82	217:52	234:69	291:57	519:0	522:0
10	7:90	23:14	29:106	44:58	135:12	221:15	245:30	267:37	417:0	420:0
10	2:15	22:28	35:114	39:70	54:98	91:85	188:70	199:20	486:0	489:0
10	4:45	11:106	30:89	48:33	103:59	173:1	225:31	303:119	480:0	483:0
10	3:46	10:107	32:89	50:33	102:60	172:2	227:31	305:119	482:0	485:0
10	0:39	13:87	24:18	45:10	179:99	221:48	232:59	254:80	390:0	393:0
10	2:4	9:102	25:37	39:76	54:4	120:53	264:67	285:7	374:0	377:0
10	11:113	23:104	31:119	53:111	65:80	153:115	231:50	308:85	514:0	517:0
10	8:103	12:69	27:53	50:88	55:93	99:111	191:106	271:5	503:0	506:0
10	0:84	18:104	21:18	51:91	174:107	207:36	225:9	259:91	439:0	442:0
10	1:88	17:102	29:34	39:84	59:103	155:99	258:4	302:28	364:0	367:0
10	13:89	23:113	42:88	45:52	77:45	173:89	211:33	237:30	377:0	380:0
10	8:76	28:80	30:77	52:10	92:0	145:58	255:34	286:117	434:0	437:0
10	2:88	15:103	27:35	40:84	57:104	153:100	259:4	300:29	365:0	368:0
10	5:56	18:57	22:111	49:24	167:84	201:54	234:108	254:79	472:0	475:0
10	3:57	19:57	23:111	50:24	165:85	202:54	235:108	252:80	473:0	476:0
10	14:88	21:113	43:87	46:51	75:45	171:89	212:32	238:29	375:0	378:0
