9	6:1	36:5	49:7	91:3	108:2	400:3	481:11	968:0	992:0
9	17:1	47:5	60:7	78:4	119:2	387:4	492:11	979:0	1003:0
9	18:1	24:6	61:7	79:4	96:3	388:4	493:11	980:0	1004:0
9	15:1	45:5	58:7	76:4	117:2	385:4	490:11	977:0	1001:0
9	0:1	30:5	67:6	85:3	102:2	394:3	499:10	962:0	986:0
9	9:1	39:5	52:7	94:3	111:2	403:3	484:11	971:0	995:0
9	3:1	33:5	70:6	88:3	105:2	397:3	502:10	965:0	989:0
9	8:1	38:5	51:7	93:3	110:2	402:3	483:11	970:0	994:0
9	16:1	46:5	59:7	77:4	118:2	386:4	491:11	978:0	1002:0
9	4:1	34:5	71:6	89:3	106:2	398:3	503:10	966:0	990:0
9	11:1	41:5	54:7	72:4	113:2	405:3	486:11	973:0	997:0
9	12:1	42:5	55:7	73:4	114:2	406:3	487:11	974:0	998:0
9	7:1	37:5	50:7	92:3	109:2	401:3	482:11	969:0	993:0
9	10:1	40:5	53:7	95:3	112:2	404:3	485:11	972:0	996:0
9	21:1	27:6	64:7	82:4	99:3	391:4	496:11	983:0	1007:0
9	14:1	44:5	57:7	75:4	116:2	384:4	489:11	976:0	1000:0
9	1:1	31:5	68:6	86:3	103:2	395:3	500:10	963:0	987:0
9	22:0	28:5	65:6	83:3	100:2	392:3	497:10	960:0	984:0
9	2:1	32:5	69:6	87:3	104:2	396:3	501:10	964:0	988:0
9	13:1	43:5	56:7	74:4	115:2	407:3	488:11	975:0	999:0
9	23:0	29:5	66:6	84:3	101:2	393:3	498:10	961:0	985:0
9	5:1	35:5	48:7	90:3	107:2	399:3	480:11	967:0	991:0
9	20:1	26:6	63:7	81:4	98:3	390:4	495:11	982:0	1006:0
9	19:1	25:6	62:7	80:4	97:3	389:4	494:11	981:0	1005:0
10	1:11	24:4	56:0	83:5	119:4	228:0	253:4	538:11	942:0	966:0
10	22:6	36:5	66:6	85:10	102:0	127:0	286:0	449:1	894:0	918:0
10	16:11	30:12	59:6	74:13	110:13	145:4	330:1	419:2	863:0	887:0
10	2:11	40:11	69:5	84:12	96:13	155:3	316:1	429:1	849:0	873:0
10	12:1	26:1	57:3	87:14	119:0	171:6	370:10	570:13	738:0	762:0
10	0:11	38:11	67:5	82:12	118:12	153:3	314:1	427:1	847:0	871:0
10	15:1	34:1	52:4	89:0	107:2	199:4	241:8	499:0	994:0	1018:0
10	11:1	30:1	48:4	85:0	103:2	195:4	261:7	495:0	990:0	1014:0
10	1:7	24:3	51:6	80:2	104:7	198:2	336:9	513:2	886:0	910:0
10	22:0	27:0	61:9	72:11	102:1	171:1	267:10	506:1	1009:0	1033:0
10	21:10	44:3	52:0	79:5	115:4	224:0	249:4	534:11	938:0	962:0
10	19:1	38:1	56:4	93:0	111:2	203:4	245:8	503:0	998:0	1022:0
10	3:2	46:1	64:4	77:1	119:2	211:4	253:8	487:1	1006:0	1030:0
10	2:2	45:1	63:4	76:1	118:2	210:4	252:8	486:1	1005:0	1029:0
10	22:1	41:1	59:4	72:1	114:2	206:4	248:8	482:1	1001:0	1025:0
10	16:14	38:6	70:9	93:8	100:0	159:0	359:11	412:12	804:0	828:0
10	20:1	39:1	57:4	94:0	112:2	204:4	246:8	480:1	999:0	1023:0
10	15:14	25:4	66:4	89:8	109:13	169:9	291:5	537:5	705:0	729:0
10	21:0	26:0	60:9	95:10	101:1	170:1	266:10	505:1	1008:0	1032:0
10	18:1	37:1	55:4	92:0	110:2	202:4	244:8	502:0	997:0	1021:0
10	4:2	47:1	65:4	78:1	96:3	212:4	254:8	488:1	1007:0	1031:0
10	7:13	35:10	57:1	93:0	109:1	236:1	372:2	454:5	932:0	956:0
10	23:1	42:1	60:4	73:1	115:2	207:4	249:8	483:1	1002:0	1026:0
10	22:10	45:3	53:0	80:5	116:4	225:0	250:4	535:11	939:0	963:0
10	0:1	38:0	69:2	75:14	107:0	183:5	382:9	558:13	726:0	750:0
10	5:1	34:0	68:9	79:11	109:1	178:1	274:10	513:1	1016:0	1040:0
10	7:1	36:0	70:9	81:11	111:1	180:1	276:10	515:1	1018:0	1042:0
10	23:0	28:0	62:9	73:11	103:1	172:1	268:10	507:1	1010:0	1034:0
10	8:1	37:0	71:9	82:11	112:1	181:1	277:10	516:1	1019:0	1043:0
10	6:1	35:0	69:9	80:11	110:1	179:1	275:10	514:1	1017:0	1041:0
10	0:1	29:0	63:9	74:11	104:1	173:1	269:10	508:1	1011:0	1035:0
10	1:1	30:0	64:9	75:11	105:1	174:1	270:10	509:1	1012:0	1036:0
10	11:1	40:0	50:10	85:11	115:1	184:1	280:10	519:1	1022:0	1046:0
10	9:1	38:0	48:10	83:11	113:1	182:1	278:10	517:1	1020:0	1044:0
10	14:1	43:0	53:10	88:11	118:1	187:1	283:10	522:1	1025:0	1049:0
10	10:1	39:0	49:10	84:11	114:1	183:1	279:10	518:1	1021:0	1045:0
10	17:1	46:0	56:10	91:11	97:2	190:1	286:10	525:1	1028:0	1052:0
10	13:1	42:0	52:10	87:11	117:1	186:1	282:10	521:1	1024:0	1048:0
10	11:7	29:12	53:1	81:12	101:1	209:9	318:12	563:0	1055:0	1079:0
10	18:1	47:0	57:10	92:11	98:2	191:1	287:10	526:1	1029:0	1053:0
10	0:5	40:3	59:9	79:1	108:13	146:1	405:8	448:0	750:0	774:0
10	13:0	28:1	67:1	84:11	99:1	186:1	254:0	419:3	830:0	854:0
10	12:1	31:1	49:4	86:0	104:2	196:4	262:7	496:0	991:0	1015:0
10	14:1	33:1	51:4	88:0	106:2	198:4	240:8	498:0	993:0	1017:0
10	6:4	34:4	57:2	72:4	119:12	126:7	299:11	570:0	781:0	805:0
10	18:12	46:9	68:0	80:0	96:1	223:1	383:1	441:5	919:0	943:0
10	23:12	27:10	49:1	85:0	101:1	228:1	364:2	446:5	924:0	948:0
10	5:0	44:0	59:1	76:11	115:0	178:1	246:0	411:3	822:0	846:0
10	12:11	26:12	55:6	94:12	106:13	165:3	326:1	415:2	859:0	883:0
10	18:5	28:0	65:0	86:1	102:9	163:4	323:0	523:10	576:0	1079:14
10	11:12	39:9	61:0	73:0	113:0	216:1	376:1	434:5	912:0	936:0
10	23:7	36:1	56:3	83:0	117:0	136:0	384:6	456:12	676:0	700:0
10	22:12	26:10	48:1	84:0	100:1	227:1	363:2	445:5	923:0	947:0
10	19:12	47:9	69:0	81:0	97:1	224:1	360:2	442:5	920:0	944:0
10	6:7	44:5	50:7	93:10	110:0	135:0	270:1	433:2	902:0	926:0
10	23:4	39:3	58:9	78:1	107:13	145:1	404:8	447:0	749:0	773:0
10	3:6	26:2	53:5	82:1	106:6	200:1	338:8	515:1	864:0	888:0
10	21:12	25:10	71:0	83:0	99:1	226:1	362:2	444:5	922:0	946:0
10	19:5	29:0	66:0	87:1	103:9	164:4	324:0	524:10	577:0	1056:0
10	4:0	38:4	55:5	78:9	98:14	182:9	304:5	550:5	718:0	742:0
10	14:11	28:12	57:6	72:13	108:13	167:3	328:1	417:2	861:0	885:0
10	21:7	34:1	54:3	81:0	115:0	134:0	406:5	478:11	674:0	698:0
10	17:6	35:11	59:0	87:11	107:0	215:8	324:11	569:14	1037:0	1061:0
10	12:12	40:9	62:0	74:0	114:0	217:1	377:1	435:5	913:0	937:0
10	9:11	32:4	64:0	91:5	103:5	236:0	261:4	546:11	950:0	974:0
10	4:5	44:3	63:9	83:1	112:13	150:1	385:9	452:0	754:0	778:0
10	18:6	41:2	68:5	73:2	97:7	215:1	353:8	506:2	879:0	903:0
10	23:10	37:11	66:5	81:12	117:12	152:3	313:1	426:1	846:0	870:0
10	5:7	43:5	49:7	92:10	109:0	134:0	269:1	432:2	901:0	925:0
