10	76:19	107:0	139:4	211:14	255:2	480:1	754:0	1154:1	2008:0	2020:0
10	79:19	98:1	142:4	214:14	258:2	483:1	745:1	1157:1	2011:0	2023:0
10	82:19	101:1	133:5	205:15	261:2	486:1	748:1	1160:1	2014:0	2026:0
10	83:19	102:1	134:5	206:15	262:2	487:1	749:1	1161:1	2015:0	2027:0
10	73:19	104:0	136:4	208:14	252:2	489:0	751:0	1163:0	2005:0	2017:0
10	74:19	105:0	137:4	209:14	253:2	490:0	752:0	1152:1	2006:0	2018:0
10	75:19	106:0	138:4	210:14	254:2	491:0	753:0	1153:1	2007:0	2019:0
10	72:19	103:0	135:4	207:14	263:1	488:0	750:0	1162:0	2004:0	2016:0
10	77:19	96:1	140:4	212:14	256:2	481:1	755:0	1155:1	2009:0	2021:0
10	80:19	99:1	143:4	215:14	259:2	484:1	746:1	1158:1	2012:0	2024:0
10	81:19	100:1	132:5	204:15	260:2	485:1	747:1	1159:1	2013:0	2025:0
10	78:19	97:1	141:4	213:14	257:2	482:1	744:1	1156:1	2010:0	2022:0
11	29:0	75:2	109:0	165:7	216:0	323:14	546:16	842:9	1053:15	1764:0	1776:0
11	10:7	42:14	103:0	149:1	211:0	357:1	481:9	847:19	1181:0	1661:0	1673:0
11	16:29	59:0	135:4	175:25	225:20	397:13	582:9	782:0	1255:4	2074:0	2086:0
11	3:15	78:18	137:18	153:0	217:1	374:29	528:2	819:11	1263:19	1437:0	1449:0
11	25:22	60:20	128:1	179:0	210:7	292:11	492:1	761:7	1158:1	1547:0	1559:0
11	22:9	76:22	115:0	142:3	206:24	309:6	473:27	931:0	1105:15	2094:0	2106:0
11	33:14	49:20	122:9	155:20	196:2	423:0	589:8	960:1	1166:15	2105:0	2117:0
11	41:2	61:26	116:8	178:14	198:22	430:4	496:1	768:5	1200:23	1728:0	1740:0
11	21:28	52:0	140:3	168:25	218:20	402:12	587:8	787:29	1248:4	2067:0	2079:0
11	14:29	57:0	133:4	173:25	223:20	407:12	580:9	780:0	1253:4	2072:0	2084:0
11	24:26	71:0	126:5	139:0	215:21	429:0	622:22	943:0	1231:4	1867:0	1879:0
11	18:0	53:0	117:6	160:11	222:7	370:14	595:8	827:0	1069:0	1645:0	1657:0
11	22:12	48:28	100:10	155:15	227:1	290:3	710:16	881:28	1024:13	1688:0	1700:0
11	29:25	64:0	131:4	132:0	208:21	422:0	615:22	936:0	1224:4	1860:0	1872:0
11	45:4	61:8	124:1	146:23	182:1	296:0	518:3	842:8	1090:2	2000:0	2012:0
11	20:5	54:3	106:0	166:1	195:25	341:11	472:6	775:6	1257:22	1842:0	1854:0
11	13:22	50:23	94:1	144:15	199:0	311:27	643:0	735:5	1031:20	1710:0	1722:0
11	25:26	60:1	127:5	140:0	204:22	430:0	623:22	944:0	1232:4	1868:0	1880:0
11	3:10	39:6	125:9	159:4	225:21	234:28	651:7	893:0	1237:20	1420:0	1432:0
11	23:0	53:0	99:29	170:7	196:0	358:5	603:0	854:21	1236:1	1371:0	1383:0
11	45:8	51:13	141:2	153:10	197:16	392:0	604:29	909:22	1291:4	1458:0	1470:0
11	4:15	79:18	138:18	154:0	218:1	375:29	529:2	820:11	1264:19	1438:0	1450:0
11	16:1	58:0	104:29	175:7	201:0	351:6	608:0	859:21	1241:1	1376:0	1388:0
11	30:7	62:28	114:23	171:3	211:0	411:19	515:16	808:2	1133:22	1936:0	1948:0
11	31:29	67:3	88:2	179:28	213:0	386:17	643:0	835:2	1236:2	1387:0	1399:0
11	13:22	54:18	126:6	133:2	195:8	277:7	443:10	952:16	1191:24	1550:0	1562:0
