3	13:28	231:0	239:0
3	8:28	226:0	234:0
3	5:28	187:0	195:0
3	0:29	190:0	198:0
3	1:29	191:0	199:0
3	26:8	305:0	313:0
3	7:28	189:0	197:0
3	3:28	185:0	193:0
3	28:8	307:0	315:0
3	50:41	295:0	303:0
3	10:28	228:0	236:0
3	14:32	277:0	285:0
3	52:40	289:0	297:0
3	12:28	230:0	238:0
3	15:27	225:0	233:0
3	51:40	288:0	296:0
3	5:18	282:0	290:0
3	0:12	179:0	187:0
3	9:32	272:0	280:0
3	22:32	170:0	178:0
3	18:33	174:0	182:0
3	6:28	188:0	196:0
3	2:28	184:0	192:0
3	19:33	175:0	183:0
3	4:28	186:0	194:0
3	14:27	224:0	232:0
3	8:33	279:0	287:0
3	23:32	171:0	179:0
3	15:32	278:0	286:0
3	9:28	227:0	235:0
3	3:18	280:0	288:0
3	7:18	284:0	292:0
3	17:33	173:0	181:0
3	29:8	308:0	316:0
3	0:19	285:0	293:0
3	11:28	229:0	237:0
3	16:33	172:0	180:0
3	53:40	290:0	298:0
3	24:15	114:0	122:0
3	31:8	310:0	318:0
3	25:8	304:0	312:0
3	27:8	306:0	314:0
3	6:11	177:0	185:0
3	5:11	176:0	184:0
3	12:32	275:0	283:0
3	55:40	292:0	300:0
3	4:12	183:0	191:0
3	2:12	181:0	189:0
3	1:19	286:0	294:0
3	31:14	113:0	121:0
3	54:40	291:0	299:0
3	30:14	112:0	120:0
3	27:15	117:0	125:0
3	10:32	273:0	281:0
3	7:11	178:0	186:0
3	26:15	116:0	124:0
3	25:15	115:0	123:0
3	29:15	119:0	127:0
3	20:32	168:0	176:0
3	28:15	118:0	126:0
3	13:32	276:0	284:0
3	1:12	180:0	188:0
3	49:41	294:0	302:0
3	11:32	274:0	282:0
3	6:18	283:0	291:0
3	4:18	281:0	289:0
3	24:9	311:0	319:0
3	2:19	287:0	295:0
3	21:32	169:0	177:0
3	48:41	293:0	301:0
3	3:12	182:0	190:0
3	30:8	309:0	317:0
4	18:30	20:18	129:0	137:0
4	11:18	35:34	216:0	224:0
4	8:33	13:6	81:0	89:0
4	7:44	9:17	199:0	207:0
4	1:24	17:23	319:0	327:0
4	4:26	47:25	254:0	262:0
4	10:19	34:35	223:0	231:0
4	26:7	37:18	326:0	334:0
4	21:33	29:9	239:0	247:0
4	0:7	12:32	127:0	135:0
4	6:44	27:32	74:0	353:0
4	8:7	11:33	84:0	92:0
4	16:36	23:7	146:0	154:0
4	15:24	20:27	260:0	268:0
4	17:30	19:18	128:0	136:0
4	10:17	28:24	106:0	114:0
4	29:33	52:3	241:0	249:0
4	30:33	53:3	242:0	250:0
4	13:17	31:24	109:0	117:0
4	5:6	9:32	124:0	132:0
4	1:40	6:28	103:0	111:0
4	2:39	7:27	96:0	104:0
4	16:31	18:19	135:0	143:0
4	4:23	15:34	156:0	164:0
4	22:2	25:4	266:0	274:0
4	3:0	24:33	79:0	358:0
4	11:9	19:6	201:0	209:0
4	5:44	26:32	73:0	352:0
4	12:9	20:6	202:0	210:0
4	13:18	37:34	218:0	226:0
4	9:17	27:24	105:0	113:0
4	0:44	10:16	192:0	200:0
4	15:9	23:6	205:0	213:0
4	7:25	42:25	249:0	257:0
4	4:1	59:30	296:0	304:0
4	24:22	47:33	77:0	85:0
4	14:18	38:34	219:0	227:0
4	1:6	13:31	120:0	128:0
4	25:28	64:11	161:0	169:0
4	26:22	41:34	79:0	87:0
4	6:6	10:32	125:0	133:0
4	0:40	5:28	102:0	110:0
4	29:28	68:11	165:0	173:0
4	12:18	36:34	217:0	225:0
4	8:10	16:7	206:0	214:0
4	9:33	14:6	82:0	90:0
4	19:8	20:36	150:0	158:0
4	39:7	64:28	138:0	146:0
4	3:44	13:16	195:0	203:0
4	1:28	4:39	98:0	106:0
4	31:21	46:33	76:0	84:0
4	0:23	11:34	152:0	160:0
4	27:21	42:33	72:0	80:0
4	8:17	26:24	104:0	112:0
4	16:8	17:36	147:0	155:0
4	10:33	15:6	83:0	91:0
4	25:13	63:23	330:0	338:0
4	21:15	53:3	343:0	351:0
4	29:6	32:18	321:0	329:0
4	31:12	61:23	328:0	336:0
4	27:7	38:18	327:0	335:0
4	20:15	52:3	342:0	350:0
4	4:6	8:32	123:0	131:0
4	10:8	26:36	346:0	354:0
4	11:24	16:27	256:0	264:0
4	6:23	22:22	316:0	324:0
4	3:2	58:31	303:0	311:0
4	30:21	45:33	75:0	83:0
4	27:13	57:24	332:0	340:0
4	15:8	31:36	351:0	359:0
4	7:23	23:22	317:0	325:0
4	13:8	29:36	349:0	357:0
4	1:44	11:16	193:0	201:0
4	8:8	24:36	344:0	352:0
4	5:1	60:30	297:0	305:0
4	6:1	61:30	298:0	306:0
4	17:20	57:37	90:0	98:0
4	19:20	59:37	92:0	100:0
4	23:2	26:4	267:0	275:0
4	28:13	58:24	333:0	341:0
4	2:23	18:22	312:0	320:0
4	22:14	54:2	336:0	344:0
4	11:7	14:33	87:0	95:0
4	25:22	40:34	78:0	86:0
4	31:6	34:18	323:0	331:0
4	24:13	62:23	329:0	337:0
4	16:3	27:4	268:0	276:0
4	30:13	60:24	335:0	343:0
4	1:23	12:34	153:0	161:0
4	9:25	22:27	262:0	270:0
4	45:7	65:1	210:0	218:0
4	17:15	49:3	339:0	347:0
4	10:25	23:27	263:0	271:0
4	6:25	41:25	248:0	256:0
4	24:34	55:3	244:0	252:0
4	34:8	67:28	141:0	149:0
4	8:19	32:35	221:0	229:0
4	18:15	50:3	340:0	348:0
4	0:2	63:30	300:0	308:0
4	11:8	27:36	347:0	355:0
4	22:7	23:35	145:0	153:0
4	30:6	33:18	322:0	330:0
4	24:7	35:18	324:0	332:0
4	9:8	25:36	345:0	353:0
4	31:33	54:3	243:0	251:0
4	18:3	29:4	270:0	278:0
4	14:24	19:27	259:0	267:0
4	28:6	39:17	320:0	328:0
4	0:26	43:25	250:0	258:0
4	26:34	49:4	246:0	254:0
4	12:17	30:24	108:0	116:0
4	47:7	67:1	212:0	220:0
4	2:0	31:32	78:0	357:0
4	17:19	23:30	134:0	142:0
4	20:8	21:36	151:0	159:0
4	19:15	51:3	341:0	349:0
4	46:7	66:1	211:0	219:0
4	5:26	40:26	255:0	263:0
4	22:20	62:37	95:0	103:0
4	26:13	56:24	331:0	339:0
4	13:24	18:27	258:0	266:0
4	4:44	25:32	72:0	359:44
4	23:19	63:36	88:0	96:0
4	9:7	12:33	85:0	93:0
4	7:23	10:35	159:0	167:0
4	33:8	66:28	140:0	148:0
