10	0:0	4:6	8:21	89:39	91:21	120:0	149:36	184:32	240:0	359:44
10	3:7	7:0	15:21	88:40	90:22	127:0	148:37	191:32	247:0	358:0
10	19:23	23:25	83:0	102:25	113:34	133:35	164:27	203:0	315:0	323:0
10	2:0	6:6	10:21	91:39	93:21	122:0	151:36	186:32	242:0	353:0
10	16:23	20:25	80:0	99:25	118:33	130:35	161:27	200:0	312:0	320:0
10	4:34	9:37	65:20	66:33	89:0	174:22	196:12	209:0	321:0	329:0
10	10:44	15:29	18:0	19:44	35:27	138:0	157:2	171:42	250:0	258:0
10	1:17	16:38	23:16	48:13	73:0	193:0	212:25	238:12	305:0	313:0
10	3:16	4:18	9:0	12:32	86:6	120:24	129:0	178:43	241:0	249:0
10	7:9	21:1	61:0	77:27	78:24	154:2	181:0	189:41	293:0	301:0
10	2:35	15:37	64:34	71:20	95:0	172:23	194:13	215:0	327:0	335:0
10	3:32	11:19	26:0	58:43	118:30	134:23	146:0	207:20	258:0	266:0
10	1:28	17:44	22:37	111:24	115:0	138:41	202:44	235:0	347:0	355:0
10	5:28	18:38	21:44	107:25	119:0	142:41	206:44	239:0	351:0	359:0
10	2:7	6:0	14:21	89:22	95:39	126:0	147:37	190:32	246:0	357:0
10	19:26	23:23	87:0	98:26	117:34	129:36	160:28	207:0	319:0	327:0
10	8:44	13:29	16:0	17:44	33:27	136:0	155:2	169:42	248:0	256:0
10	3:33	20:19	44:0	47:29	53:4	164:0	199:31	218:40	276:0	284:0
10	6:16	7:18	12:0	15:32	81:7	123:24	132:0	181:43	244:0	252:0
10	10:42	13:16	35:10	80:37	106:0	120:44	221:39	226:0	338:0	346:0
10	11:30	14:44	22:0	23:44	39:27	142:0	153:3	175:42	254:0	262:0
10	0:7	4:0	12:21	93:39	95:21	124:0	145:37	188:32	244:0	355:0
10	8:17	13:42	38:10	83:37	109:0	123:44	216:40	229:0	341:0	349:0
10	2:9	16:1	56:0	72:27	73:24	157:1	176:0	184:41	288:0	296:0
10	5:23	14:33	29:42	61:32	99:0	141:32	161:21	219:0	331:0	339:0
10	6:27	19:37	22:43	108:24	112:0	143:40	207:43	232:0	344:0	352:0
10	2:32	10:19	25:0	57:43	117:30	133:23	145:0	206:20	257:0	265:0
10	1:7	5:0	13:21	88:22	94:39	125:0	146:37	189:32	245:0	356:0
10	3:23	12:33	27:42	59:32	97:0	139:32	167:20	217:0	329:0	337:0
10	6:32	14:19	29:0	61:43	113:31	129:24	149:0	202:21	261:0	269:0
10	7:32	15:19	30:0	62:43	114:31	130:24	150:0	203:21	262:0	270:0
10	4:24	23:11	47:4	49:0	101:16	169:0	179:9	226:43	281:0	289:0
10	5:32	13:19	28:0	60:43	112:31	128:24	148:0	201:21	260:0	268:0
10	12:13	14:15	16:43	30:15	33:0	153:0	225:31	238:35	265:0	273:0
10	0:25	19:12	43:5	53:0	97:17	173:0	183:9	230:43	285:0	293:0
