4	18:11	39:16	248:0	256:0
4	14:3	62:26	267:0	275:0
4	16:37	83:1	205:0	213:0
4	19:11	32:17	249:0	257:0
4	23:11	36:17	253:0	261:0
4	22:36	81:1	203:0	211:0
4	17:37	84:1	206:0	214:0
4	21:11	34:17	251:0	259:0
4	20:36	87:0	201:0	209:0
4	18:37	85:1	207:0	215:0
4	12:3	60:26	265:0	273:0
4	8:4	56:27	269:0	277:0
4	16:12	37:17	254:0	262:0
4	23:36	82:1	204:0	212:0
4	10:4	58:27	271:0	279:0
4	22:11	35:17	252:0	260:0
4	19:36	86:0	200:0	208:0
4	17:12	38:17	255:0	263:0
4	20:11	33:17	250:0	258:0
4	9:4	57:27	270:0	278:0
4	11:3	59:26	264:0	272:0
4	21:36	80:1	202:0	210:0
4	15:3	63:26	268:0	276:0
4	13:3	61:26	266:0	274:0
5	2:28	16:25	51:1	103:0	358:0
5	4:9	23:31	54:7	237:0	245:0
5	6:26	20:15	95:33	325:0	333:0
5	5:7	18:0	84:11	345:0	353:0
5	3:10	11:15	43:19	145:0	153:0
5	14:36	17:11	71:7	174:0	182:0
5	8:44	19:39	90:6	247:0	255:0
5	2:9	21:31	52:7	235:0	243:0
5	0:28	22:24	49:1	101:0	356:0
5	12:36	23:10	69:7	172:0	180:0
5	1:9	20:31	51:7	234:0	242:0
5	3:24	15:20	34:14	287:0	295:0
5	4:27	18:24	53:0	97:0	352:0
5	13:43	16:39	95:5	244:0	252:0
5	6:15	14:19	37:39	308:0	316:0
5	10:32	22:15	55:14	328:0	336:0
5	7:0	9:37	61:11	225:0	233:0
5	5:36	21:43	74:15	259:0	267:0
5	1:35	17:40	60:5	216:0	224:0
5	0:16	15:2	27:7	129:0	137:0
5	4:15	12:19	35:39	306:0	314:0
5	3:36	19:43	72:15	257:0	265:0
5	13:36	16:11	70:7	173:0	181:0
5	6:36	22:43	75:15	260:0	268:0
5	7:16	14:1	24:17	213:0	221:0
5	8:36	18:17	57:1	186:0	194:0
