10	54:28	65:1	93:6	141:21	169:3	322:1	496:1	772:1	1338:0	1346:0
10	55:28	66:1	94:6	142:21	170:3	323:1	497:1	773:1	1339:0	1347:0
10	49:29	68:1	88:7	136:22	172:3	325:1	499:1	775:1	1341:0	1349:0
10	50:29	69:1	89:7	137:22	173:3	326:1	500:1	768:2	1342:0	1350:0
10	48:29	67:1	95:6	143:21	171:3	324:1	498:1	774:1	1340:0	1348:0
10	52:28	71:0	91:6	139:21	175:2	320:1	502:0	770:1	1336:0	1344:0
10	51:29	70:1	90:7	138:22	174:3	327:1	501:1	769:2	1343:0	1351:0
10	53:28	64:1	92:6	140:21	168:3	321:1	503:0	771:1	1337:0	1345:0
11	26:4	46:39	77:13	119:22	131:34	287:7	333:2	513:8	801:35	1157:0	1165:0
11	30:12	56:13	76:13	118:27	124:0	225:6	349:30	667:17	762:10	1004:0	1012:0
11	12:1	35:1	79:10	110:17	144:12	240:23	397:13	545:2	719:0	1103:0	1111:0
11	23:31	46:28	82:1	113:0	136:10	198:15	330:0	511:9	768:1	1025:0	1033:0
11	10:0	60:16	69:0	122:28	129:10	187:19	403:1	483:33	697:1	1301:0	1309:0
11	14:18	41:28	64:5	93:5	143:3	170:3	369:14	588:30	796:43	990:0	998:0
11	0:36	52:35	61:13	116:13	134:38	226:35	366:41	545:1	784:13	1374:0	1382:0
11	31:12	37:19	95:3	103:15	131:24	262:0	406:43	607:33	861:6	972:0	980:0
11	2:27	46:4	83:29	101:5	144:38	216:15	395:11	605:39	744:36	1170:0	1178:0
11	22:16	47:5	80:20	117:0	124:4	293:29	450:19	501:28	815:0	1163:0	1171:0
11	20:44	43:11	60:0	116:0	127:0	255:7	471:11	492:10	779:6	1092:0	1100:0
11	17:24	54:9	57:2	88:1	146:7	153:6	301:23	668:3	848:31	1070:0	1078:0
11	9:33	38:27	86:9	89:3	131:12	189:10	291:16	636:24	795:36	1034:0	1042:0
11	4:42	35:35	66:22	97:12	130:10	147:31	384:9	498:44	727:6	1217:0	1225:0
11	17:34	49:0	82:6	108:14	133:18	266:20	363:41	558:6	711:3	976:0	984:0
11	18:44	41:11	58:0	114:0	125:0	253:7	469:11	490:10	777:6	1090:0	1098:0
11	3:11	27:21	68:0	102:1	140:0	234:2	322:13	560:29	786:0	1106:0	1114:0
11	30:15	36:43	69:0	106:1	123:8	262:8	312:33	619:24	813:0	1389:0	1397:0
11	18:44	42:5	59:3	114:43	136:1	261:25	430:0	558:3	831:2	926:0	934:0
