3	3:118	14:0	15:0
3	2:260	21:0	22:0
3	0:93	22:0	23:0
3	0:226	23:0	24:0
3	1:222	28:0	29:0
3	1:257	34:0	35:0
3	0:147	35:0	36:0
3	6:323	36:0	37:0
3	3:65	38:0	39:0
4	0:356	3:257	9:0	44:359
4	3:171	5:266	9:0	10:0
4	1:52	1:263	10:0	11:0
4	2:159	7:295	11:0	12:0
4	0:223	0:314	12:0	13:0
4	1:136	3:194	13:0	14:0
4	0:49	1:253	15:0	16:0
4	2:147	2:241	16:0	17:0
4	4:61	8:222	17:0	18:0
4	2:61	2:286	18:0	19:0
4	0:184	1:275	19:0	20:0
4	3:224	8:87	20:0	21:0
4	0:352	1:130	24:0	25:0
4	1:74	2:50	25:0	26:0
4	5:59	8:7	26:0	27:0
4	1:147	4:275	27:0	28:0
4	2:262	3:70	29:0	30:0
4	3:268	6:27	30:0	31:0
4	0:206	5:201	31:0	32:0
4	1:195	2:216	32:0	33:0
4	2:20	3:31	33:0	34:0
4	0:12	7:243	37:0	38:0
4	0:186	2:178	39:0	40:0
4	3:52	4:143	40:0	41:0
4	3:103	7:189	41:0	42:0
4	2:118	6:22	42:0	43:0
4	1:64	3:288	43:0	44:0
