7	4:232	25:54	58:94	76:29	79:13	90:0	179:359
7	7:79	10:150	15:94	43:225	79:289	170:0	171:0
7	9:321	13:169	20:262	53:70	76:260	171:0	172:0
7	5:215	23:109	64:181	75:320	80:313	172:0	173:0
7	3:83	36:22	46:154	77:5	81:233	173:0	174:0
7	6:346	9:2	15:296	55:95	83:78	174:0	175:0
7	4:12	8:356	17:312	60:98	79:342	175:0	176:0
7	2:54	16:254	66:49	75:70	78:260	176:0	177:0
7	5:315	8:320	28:312	42:276	77:270	177:0	178:0
7	3:219	9:244	11:271	61:42	81:88	178:0	179:0
8	2:70	7:349	31:235	56:141	80:37	85:264	90:0	91:0
8	2:218	36:35	68:335	75:214	79:278	88:148	91:0	92:0
8	1:116	6:93	40:169	60:336	77:334	80:224	92:0	93:0
8	0:191	8:320	43:43	48:348	76:343	81:281	93:0	94:0
8	3:139	6:16	38:233	69:267	78:124	84:339	94:0	95:0
8	5:117	8:279	13:14	19:232	51:0	80:349	95:0	96:0
8	1:50	4:32	24:275	61:42	78:216	83:130	96:0	97:0
8	2:191	5:275	40:156	54:19	76:181	82:359	97:0	98:0
8	0:317	7:200	21:283	73:228	75:269	81:267	98:0	99:0
8	1:271	5:95	32:244	45:61	78:53	86:326	99:0	100:0
8	2:114	3:275	9:241	39:280	62:325	84:92	100:0	101:0
8	0:10	8:199	15:132	63:18	78:141	87:262	101:0	102:0
8	1:292	7:161	42:128	64:337	76:136	83:82	102:0	103:0
8	2:130	4:103	33:343	69:285	75:283	81:96	103:0	104:0
8	1:139	8:164	9:177	22:327	52:60	85:69	104:0	105:0
8	4:212	8:49	12:196	36:290	44:290	76:121	105:0	106:0
8	2:135	6:88	20:212	59:231	78:303	81:272	106:0	107:0
8	3:166	9:82	19:246	42:337	73:163	79:325	107:0	108:0
8	2:198	4:41	10:332	70:178	77:17	87:31	108:0	109:0
8	1:330	6:278	8:14	39:120	68:264	82:120	109:0	110:0
8	3:203	7:140	14:225	27:142	52:335	77:41	110:0	111:0
8	2:150	5:232	35:17	57:163	79:101	81:279	111:0	112:0
8	1:188	7:325	29:82	51:33	77:92	83:19	112:0	113:0
8	3:193	8:284	10:235	34:254	66:216	76:232	113:0	114:0
8	1:268	7:235	44:6	65:307	79:247	82:352	114:0	115:0
8	1:319	5:285	27:261	53:356	75:169	84:312	115:0	116:0
8	2:232	17:174	73:355	77:332	78:206	85:261	116:0	117:0
8	4:249	8:270	38:135	56:238	76:85	86:344	117:0	118:0
8	0:162	7:298	18:147	47:161	77:260	88:153	118:0	119:0
8	1:24	6:269	28:255	67:252	76:309	81:265	119:0	120:0
8	3:301	9:191	31:123	51:293	75:204	86:269	120:0	121:0
8	4:268	9:79	16:337	26:4	63:79	77:203	121:0	122:0
8	3:7	7:217	8:72	25:204	49:247	88:166	122:0	123:0
8	0:176	5:320	22:159	70:304	75:135	82:221	123:0	124:0
8	3:54	6:173	24:306	48:86	79:134	85:313	124:0	125:0
8	4:322	8:326	27:85	55:359	80:222	89:56	125:0	126:0
8	5:32	6:117	12:221	30:80	62:69	77:188	126:0	127:0
8	4:139	6:146	21:183	35:187	47:326	78:117	127:0	128:0
8	0:54	9:120	59:139	71:188	76:306	88:115	128:0	129:0
8	0:268	4:188	31:95	45:263	77:298	79:133	129:0	130:0
8	1:58	6:252	14:131	64:183	78:310	88:183	130:0	131:0
8	3:169	12:273	26:329	50:147	75:110	79:143	131:0	132:0
8	1:29	9:300	43:39	58:235	77:288	89:150	132:0	133:0
8	3:107	5:179	37:274	47:59	79:144	83:235	133:0	134:0
8	1:50	7:340	23:124	70:8	78:133	89:207	134:0	135:0
8	3:359	4:56	8:16	40:99	72:325	84:71	135:0	136:0
8	6:291	7:44	26:59	53:330	78:110	87:75	136:0	137:0
8	2:142	8:232	29:258	71:18	79:232	86:291	137:0	138:0
8	4:79	5:300	39:95	61:12	75:154	88:63	138:0	139:0
8	0:337	9:300	37:65	44:200	78:74	80:166	139:0	140:0
8	2:316	7:121	41:37	67:340	77:25	84:84	140:0	141:0
8	0:348	32:241	55:247	75:120	76:131	85:211	141:0	142:0
8	1:330	4:267	33:110	57:115	77:81	82:347	142:0	143:0
8	0:96	5:40	20:77	56:169	79:20	84:245	143:0	144:0
8	0:203	6:92	9:262	41:151	72:272	85:96	144:0	145:0
8	0:141	5:193	16:219	69:184	76:109	87:303	145:0	146:0
8	1:137	8:250	11:167	18:275	46:168	80:324	146:0	147:0
