8	2:233	9:153	19:109	20:95	49:127	77:348	96:0	179:359
8	7:339	8:8	11:138	41:26	51:76	77:183	165:0	166:0
8	3:27	10:325	15:324	24:317	72:222	76:311	166:0	167:0
8	1:105	5:244	9:69	19:254	54:27	87:310	167:0	168:0
8	4:191	8:273	12:203	45:292	65:163	81:326	168:0	169:0
8	3:119	7:265	9:359	18:286	27:24	57:328	169:0	170:0
8	5:83	8:96	17:61	21:345	43:160	71:62	170:0	171:0
8	2:131	7:222	11:107	16:315	56:36	86:264	171:0	172:0
8	4:268	6:341	15:31	18:317	30:250	66:295	172:0	173:0
8	5:338	8:42	17:32	34:156	53:244	76:237	173:0	174:0
8	7:5	10:161	13:17	73:276	81:332	88:322	174:0	175:0
8	3:51	8:108	11:232	33:293	67:342	80:61	175:0	176:0
8	2:18	7:13	14:250	18:247	58:307	65:239	176:0	177:0
8	3:76	6:70	16:356	17:238	52:86	87:151	177:0	178:0
8	4:306	7:66	13:158	34:185	74:330	75:219	178:0	179:0
9	1:175	7:101	14:17	16:83	43:289	68:174	89:151	96:0	97:0
9	1:154	4:255	9:346	18:166	22:311	53:225	61:42	97:0	98:0
9	0:226	7:330	10:13	15:173	36:286	80:5	93:332	98:0	99:0
9	3:61	8:292	14:331	30:130	70:121	75:183	83:181	99:0	100:0
9	1:258	6:52	10:88	15:182	47:51	57:102	84:194	100:0	101:0
9	3:255	5:205	11:352	12:193	29:114	73:155	89:270	101:0	102:0
9	1:271	8:31	13:85	14:96	28:287	42:130	56:240	102:0	103:0
9	0:293	5:63	10:293	15:189	20:157	33:94	94:321	103:0	104:0
9	3:346	7:289	8:252	17:83	37:116	64:298	78:91	104:0	105:0
9	2:129	6:13	8:315	13:126	25:271	27:305	61:285	105:0	106:0
9	1:9	5:89	7:138	19:70	48:359	82:98	91:15	106:0	107:0
9	2:347	8:106	10:274	17:180	44:62	66:90	89:315	107:0	108:0
9	2:228	5:71	13:76	22:85	46:158	55:159	87:63	108:0	109:0
9	0:29	7:203	12:227	15:87	40:64	79:3	92:1	109:0	110:0
9	1:141	5:170	9:242	17:315	25:153	42:50	65:198	110:0	111:0
9	0:101	4:308	7:39	19:157	35:265	53:42	83:66	111:0	112:0
9	3:57	6:267	9:258	18:186	39:349	85:309	94:201	112:0	113:0
9	0:323	4:317	13:203	15:306	52:266	60:115	89:296	113:0	114:0
9	1:281	4:145	8:245	19:244	24:346	40:37	71:61	114:0	115:0
9	5:94	6:145	7:206	16:42	26:273	80:65	90:228	115:0	116:0
9	2:326	8:198	9:225	15:214	29:27	45:189	62:249	116:0	117:0
9	3:242	5:48	10:113	14:229	41:239	61:200	86:284	117:0	118:0
9	0:276	7:255	11:276	18:337	23:305	24:48	69:189	118:0	119:0
9	1:259	6:38	8:27	14:215	26:125	46:180	59:275	119:0	120:0
9	0:189	3:137	9:186	15:334	50:317	74:359	82:308	120:0	121:0
9	1:314	4:50	12:243	16:23	36:151	88:229	94:154	121:0	122:0
9	0:19	6:262	10:72	13:59	19:289	38:231	62:178	122:0	123:0
9	3:145	4:215	14:18	17:195	47:54	55:359	81:291	123:0	124:0
9	2:174	5:330	12:183	18:64	52:203	78:317	93:199	124:0	125:0
9	0:301	4:31	9:5	13:329	26:240	63:66	86:248	125:0	126:0
9	0:348	4:18	11:256	14:270	54:270	64:250	82:175	126:0	127:0
9	2:136	6:288	10:89	16:221	42:344	69:20	75:246	127:0	128:0
9	0:293	4:147	11:330	17:327	38:306	68:277	85:291	128:0	129:0
9	3:117	5:174	8:124	13:318	35:115	79:94	91:328	129:0	130:0
9	4:2	6:73	10:271	17:165	23:26	50:138	67:124	130:0	131:0
9	0:187	5:212	9:211	12:62	19:27	51:145	56:140	131:0	132:0
9	1:131	4:104	8:273	18:344	49:309	79:236	90:283	132:0	133:0
9	0:192	6:7	9:41	14:200	21:185	44:145	93:57	133:0	134:0
9	2:141	3:109	11:232	16:358	34:130	84:316	92:52	134:0	135:0
9	4:202	5:23	10:21	12:215	27:197	39:271	59:275	135:0	136:0
9	3:258	4:138	9:354	17:157	32:20	62:263	77:308	136:0	137:0
9	1:139	7:289	8:1	18:285	31:238	67:56	87:131	137:0	138:0
9	3:72	6:193	11:320	15:292	25:93	43:191	63:321	138:0	139:0
9	0:236	5:235	7:39	14:148	19:214	36:70	72:155	139:0	140:0
9	2:155	9:1	10:234	11:40	37:331	60:336	79:63	140:0	141:0
9	1:99	5:174	12:47	13:57	44:153	69:343	77:117	141:0	142:0
9	0:354	2:210	8:24	11:283	19:93	50:154	57:321	142:0	143:0
9	1:356	3:163	9:222	14:311	38:18	78:212	92:224	143:0	144:0
9	2:135	4:90	12:12	17:276	48:117	80:123	95:164	144:0	145:0
9	2:194	8:70	15:214	19:211	23:230	39:224	73:138	145:0	146:0
9	3:283	6:126	12:46	16:103	49:49	54:139	83:24	146:0	147:0
9	0:342	7:52	12:259	14:244	32:344	60:287	84:196	147:0	148:0
9	2:17	4:0	9:233	16:114	28:51	76:2	91:20	148:0	149:0
9	1:340	6:250	12:257	15:356	31:308	70:310	86:155	149:0	150:0
9	3:284	4:165	9:116	19:61	21:281	46:61	58:86	150:0	151:0
9	1:237	6:235	12:18	18:72	29:126	64:218	76:30	151:0	152:0
9	2:132	6:140	9:299	14:60	35:121	71:257	88:224	152:0	153:0
9	1:306	4:134	11:54	13:110	20:254	31:307	95:253	153:0	154:0
9	0:242	6:144	10:278	18:197	51:35	55:133	82:356	154:0	155:0
9	0:249	5:230	9:183	13:222	33:344	68:92	84:218	155:0	156:0
9	1:337	2:129	7:240	16:32	19:179	30:146	59:181	156:0	157:0
9	0:338	3:268	8:146	13:68	18:144	48:116	72:56	157:0	158:0
9	2:64	7:67	9:211	12:248	47:198	85:67	90:113	158:0	159:0
9	1:134	5:156	11:239	32:95	58:114	75:344	88:20	159:0	160:0
9	0:186	6:311	13:180	16:178	41:253	66:95	78:121	160:0	161:0
9	2:187	5:7	7:72	17:264	28:130	63:154	83:18	161:0	162:0
9	3:166	6:346	8:28	16:257	22:238	45:96	95:96	162:0	163:0
9	1:257	5:27	10:348	14:277	37:26	74:47	85:43	163:0	164:0
9	2:44	6:231	9:175	11:169	40:26	70:359	81:214	164:0	165:0
