15	3:103	5:28	9:201	13:95	18:150	19:261	28:314	30:8	43:240	59:342	83:220	103:343	122:245	132:0	179:359
15	4:78	7:203	9:6	15:103	17:331	22:34	25:235	40:183	54:146	72:228	75:211	95:115	118:248	169:0	170:0
15	2:121	6:36	8:346	12:355	14:345	34:248	39:217	59:316	68:15	76:101	79:338	101:210	127:8	170:0	171:0
15	2:350	3:256	7:134	14:59	15:54	19:22	38:48	51:47	70:64	77:186	87:150	106:317	129:129	171:0	172:0
15	1:198	6:211	8:7	11:294	16:286	30:314	66:210	75:239	79:51	88:31	95:335	96:143	113:303	172:0	173:0
15	0:224	5:36	10:189	15:312	18:111	19:51	34:269	49:39	73:235	82:357	89:332	102:326	124:67	173:0	174:0
15	1:265	3:94	9:93	13:56	16:240	23:296	38:137	50:3	74:63	76:263	78:222	98:352	126:278	174:0	175:0
15	4:74	6:217	10:83	12:284	17:142	26:333	37:61	56:160	70:19	79:320	80:28	103:205	115:179	175:0	176:0
15	2:204	7:202	8:160	14:200	18:21	31:239	50:207	72:298	76:4	85:289	88:81	116:157	125:323	176:0	177:0
15	2:348	5:193	7:119	16:355	17:257	18:102	26:284	41:133	58:254	77:216	93:44	97:63	127:104	177:0	178:0
15	3:359	6:83	11:269	14:6	19:297	22:343	32:344	48:251	65:192	75:276	80:9	104:34	114:287	178:0	179:0
16	1:74	4:319	7:8	14:133	16:200	27:264	33:314	40:295	67:246	76:147	77:311	100:254	108:281	124:119	132:0	133:0
16	0:188	2:358	8:60	12:48	18:98	19:103	23:283	32:224	54:68	56:144	86:343	92:91	107:167	128:305	133:0	134:0
16	3:256	4:129	7:36	9:8	15:78	19:7	21:204	52:145	61:79	78:208	88:292	101:83	109:324	117:23	134:0	135:0
16	1:171	5:311	9:256	13:41	14:182	18:302	37:192	53:210	64:21	77:331	84:313	95:52	104:80	131:176	135:0	136:0
16	4:143	5:151	7:350	10:284	16:33	36:17	42:340	59:78	75:123	78:165	85:343	99:166	107:123	126:169	136:0	137:0
16	0:163	2:119	6:252	9:285	13:357	15:256	27:102	44:259	62:241	71:314	76:143	79:148	111:77	123:288	137:0	138:0
16	4:299	5:12	7:86	10:262	16:146	20:12	32:262	51:257	63:184	72:100	77:247	78:180	102:57	122:77	138:0	139:0
16	0:347	3:154	6:107	11:35	12:75	18:333	21:119	40:346	58:251	75:147	82:93	98:226	110:247	130:356	139:0	140:0
16	0:40	3:298	6:331	11:221	17:97	35:218	53:274	69:163	77:141	79:46	89:19	94:127	107:139	116:347	140:0	141:0
16	0:94	1:61	5:19	9:129	12:300	16:44	19:70	39:189	46:114	65:278	85:120	91:41	111:323	121:275	141:0	142:0
