11	18:0	37:88	44:72	48:0	51:109	66:116	78:0	79:57	81:30	105:0	108:0
11	19:0	38:88	42:73	49:0	52:109	67:116	79:0	80:57	82:30	106:0	109:0
11	20:0	36:89	43:73	50:0	53:109	68:116	78:58	80:0	83:30	107:0	110:0
12	6:13	15:0	19:112	32:49	45:0	48:60	50:10	75:0	82:66	95:4	105:0	134:119
12	7:13	16:0	20:112	30:50	46:0	48:11	49:60	76:0	83:66	93:5	106:0	132:0
12	8:13	17:0	18:113	31:50	47:0	49:11	50:60	77:0	81:67	94:5	107:0	133:0
12	3:37	16:31	24:0	26:110	54:0	60:74	62:108	84:0	86:10	90:112	111:0	114:0
12	4:37	17:31	24:111	25:0	55:0	60:109	61:74	84:11	85:0	91:112	112:0	115:0
12	5:37	15:32	25:111	26:0	56:0	61:109	62:74	85:11	86:0	92:112	113:0	116:0
12	3:114	21:27	27:0	34:52	57:0	63:117	71:27	76:67	87:0	92:17	114:0	117:0
12	4:114	22:27	28:0	35:52	58:0	64:117	69:28	77:67	88:0	90:18	115:0	118:0
12	5:114	23:27	29:0	33:53	59:0	65:117	70:28	75:68	89:0	91:18	116:0	119:0
13	6:113	14:99	21:0	28:91	39:2	46:44	51:0	54:35	75:96	81:0	85:62	108:0	111:0
13	7:113	12:100	22:0	29:91	40:2	47:44	52:0	55:35	76:96	82:0	86:62	109:0	112:0
13	8:113	13:100	23:0	27:92	41:2	45:45	53:0	56:35	77:96	83:0	84:63	110:0	113:0
13	0:0	0:68	19:30	23:52	30:0	56:104	60:0	73:58	90:0	95:88	102:2	117:0	120:0
13	1:0	1:68	20:30	21:53	31:0	54:105	61:0	74:58	91:0	93:89	103:2	118:0	121:0
13	2:0	2:68	18:31	22:53	32:0	55:105	62:0	72:59	92:0	94:89	104:2	119:0	122:0
13	1:90	3:0	32:107	33:0	33:44	63:0	64:112	74:49	93:0	96:62	100:101	120:0	123:0
13	2:90	4:0	30:108	34:0	34:44	64:0	65:112	72:50	94:0	97:62	101:101	121:0	124:0
13	0:91	5:0	31:108	35:0	35:44	63:113	65:0	73:50	95:0	98:62	99:102	122:0	125:0
13	6:0	9:96	16:55	36:0	42:110	46:80	66:0	70:70	78:28	96:0	101:72	123:0	126:0
13	7:0	10:96	17:55	37:0	43:110	47:80	67:0	71:70	79:28	97:0	99:73	124:0	127:0
13	8:0	11:96	15:56	38:0	44:110	45:81	68:0	69:71	80:28	98:0	100:73	125:0	128:0
13	9:0	12:6	37:51	39:0	41:16	52:43	59:85	69:0	89:114	99:0	103:81	126:0	129:0
13	10:0	13:6	38:51	39:17	40:0	53:43	57:86	70:0	87:115	100:0	104:81	127:0	130:0
13	11:0	14:6	36:52	40:17	41:0	51:44	58:86	71:0	88:115	101:0	102:82	128:0	131:0
13	11:75	12:0	24:19	27:24	42:0	59:37	66:33	72:0	89:83	96:52	102:0	129:0	132:0
13	9:76	13:0	25:19	28:24	43:0	57:38	67:33	73:0	87:84	97:52	103:0	130:0	133:0
13	10:76	14:0	26:19	29:24	44:0	58:38	68:33	74:0	88:84	98:52	104:0	131:0	134:0
