4	6:97	30:2	75:0	78:0
4	7:97	31:2	76:0	79:0
4	8:97	32:2	77:0	80:0
4	6:30	12:45	93:0	96:0
4	7:30	13:45	94:0	97:0
4	8:30	14:45	95:0	98:0
4	3:9	22:70	99:0	102:0
4	4:9	23:70	100:0	103:0
4	5:9	21:71	101:0	104:0
5	0:73	7:64	19:1	36:0	134:119
5	1:73	8:64	20:1	37:0	132:0
5	2:73	6:65	18:2	38:0	133:0
5	0:35	7:74	24:97	36:0	39:0
5	1:35	8:74	25:97	37:0	40:0
5	2:35	6:75	26:97	38:0	41:0
5	4:24	8:86	15:33	39:0	42:0
5	5:24	6:87	16:33	40:0	43:0
5	3:25	7:87	17:33	41:0	44:0
5	1:18	5:67	18:39	42:0	45:0
5	2:18	3:68	19:39	43:0	46:0
5	0:19	4:68	20:39	44:0	47:0
5	1:94	5:14	25:82	45:0	48:0
5	2:94	3:15	26:82	46:0	49:0
5	0:95	4:15	24:83	47:0	50:0
5	1:42	4:7	10:19	48:0	51:0
5	2:42	5:7	11:19	49:0	52:0
5	0:43	3:8	9:20	50:0	53:0
5	1:100	7:51	29:74	51:0	54:0
5	2:100	8:51	27:75	52:0	55:0
5	0:101	6:52	28:75	53:0	56:0
5	1:27	5:40	16:51	54:0	57:0
5	2:27	3:41	17:51	55:0	58:0
5	0:28	4:41	15:52	56:0	59:0
5	1:23	3:28	32:8	57:0	60:0
5	2:23	4:28	30:9	58:0	61:0
5	0:24	5:28	31:9	59:0	62:0
5	3:44	7:20	10:100	60:0	63:0
5	4:44	8:20	11:100	61:0	64:0
5	5:44	6:21	9:101	62:0	65:0
5	3:96	8:27	24:19	63:0	66:0
5	4:96	6:28	25:19	64:0	67:0
5	5:96	7:28	26:19	65:0	68:0
5	2:50	5:3	9:29	66:0	69:0
5	0:51	3:4	10:29	67:0	70:0
5	1:51	4:4	11:29	68:0	71:0
5	4:95	7:45	22:2	69:0	72:0
5	5:95	8:45	23:2	70:0	73:0
5	3:96	6:46	21:3	71:0	74:0
5	2:31	4:99	12:0	72:0	75:0
5	0:32	5:99	13:0	73:0	76:0
5	1:32	3:100	14:0	74:0	77:0
5	1:43	3:3	11:43	78:0	81:0
5	2:43	4:3	9:44	79:0	82:0
5	0:44	5:3	10:44	80:0	83:0
5	2:93	6:107	23:14	81:0	84:0
5	0:94	7:107	21:15	82:0	85:0
5	1:94	8:107	22:15	83:0	86:0
5	0:2	5:98	23:30	84:0	87:0
5	1:2	3:99	21:31	85:0	88:0
5	2:2	4:99	22:31	86:0	89:0
5	2:23	7:83	18:19	87:0	90:0
5	0:24	8:83	19:19	88:0	91:0
5	1:24	6:84	20:19	89:0	92:0
5	3:115	8:102	34:14	90:0	93:0
5	4:115	6:103	35:14	91:0	94:0
5	5:115	7:103	33:15	92:0	95:0
5	2:96	7:115	29:39	96:0	99:0
5	0:97	8:115	27:40	97:0	100:0
5	1:97	6:116	28:40	98:0	101:0
5	0:55	7:38	29:12	102:0	105:0
5	1:55	8:38	27:13	103:0	106:0
5	2:55	6:39	28:13	104:0	107:0
5	2:62	4:53	14:35	105:0	108:0
5	0:63	5:53	12:36	106:0	109:0
5	1:63	3:54	13:36	107:0	110:0
5	4:112	7:21	16:7	108:0	111:0
5	5:112	8:21	17:7	109:0	112:0
5	3:113	6:22	15:8	110:0	113:0
5	4:5	7:53	15:51	111:0	114:0
5	5:5	8:53	16:51	112:0	115:0
5	3:6	6:54	17:51	113:0	116:0
5	2:40	4:51	13:104	114:0	117:0
5	0:41	5:51	14:104	115:0	118:0
5	1:41	3:52	12:105	116:0	119:0
5	1:4	7:11	24:57	117:0	120:0
5	2:4	8:11	25:57	118:0	121:0
5	0:5	6:12	26:57	119:0	122:0
5	2:69	8:39	35:88	120:0	123:0
5	0:70	6:40	33:89	121:0	124:0
5	1:70	7:40	34:89	122:0	125:0
5	3:86	6:42	20:39	123:0	126:0
5	4:86	7:42	18:40	124:0	127:0
5	5:86	8:42	19:40	125:0	128:0
5	4:23	8:77	35:19	126:0	129:0
5	5:23	6:78	33:20	127:0	130:0
5	3:24	7:78	34:20	128:0	131:0
5	0:20	7:0	31:30	129:0	132:0
5	1:20	8:0	32:30	130:0	133:0
5	2:20	6:1	30:31	131:0	134:0
