9	1:7	4:41	8:53	11:27	13:17	50:26	62:85	120:0	123:0
9	2:7	5:41	6:54	9:28	14:17	48:27	60:86	121:0	124:0
9	0:8	3:42	7:54	10:28	12:18	49:27	61:86	122:0	125:0
10	0:46	4:1	8:5	11:12	12:74	19:38	41:3	64:86	72:0	134:119
10	1:46	5:1	6:6	9:13	13:74	20:38	39:4	65:86	73:0	132:0
10	2:46	3:2	7:6	10:13	14:74	18:39	40:4	63:87	74:0	133:0
10	2:40	3:9	8:27	11:75	12:47	16:55	42:76	68:70	72:0	75:0
10	0:41	4:9	6:28	9:76	13:47	17:55	43:76	66:71	73:0	76:0
10	1:41	5:9	7:28	10:76	14:47	15:56	44:76	67:71	74:0	77:0
10	2:88	4:7	7:24	10:26	14:1	26:38	37:29	58:2	75:0	78:0
10	0:89	5:7	8:24	11:26	12:2	24:39	38:29	59:2	76:0	79:0
10	1:89	3:8	6:25	9:27	13:2	25:39	36:30	57:3	77:0	80:0
10	2:110	5:91	6:27	10:12	13:109	28:23	34:34	58:11	78:0	81:0
10	0:111	3:92	7:27	11:12	14:109	29:23	35:34	59:11	79:0	82:0
10	1:111	4:92	8:27	9:13	12:110	27:24	33:35	57:12	80:0	83:0
10	1:88	4:1	7:34	11:14	12:107	27:75	46:73	61:0	81:0	84:0
10	2:88	5:1	8:34	9:15	13:107	28:75	47:73	62:0	82:0	85:0
10	0:89	3:2	6:35	10:15	14:107	29:75	45:74	60:1	83:0	86:0
10	1:62	5:10	7:25	10:2	14:5	15:4	50:46	59:94	84:0	87:0
10	2:62	3:11	8:25	11:2	12:6	16:4	48:47	57:95	85:0	88:0
10	0:63	4:11	6:26	9:3	13:6	17:4	49:47	58:95	86:0	89:0
10	0:114	4:29	6:35	11:66	13:105	22:69	36:38	66:40	87:0	90:0
10	1:114	5:29	7:35	9:67	14:105	23:69	37:38	67:40	88:0	91:0
10	2:114	3:30	8:35	10:67	12:106	21:70	38:38	68:40	89:0	92:0
10	0:6	5:2	6:21	9:111	14:1	21:43	46:77	69:104	90:0	93:0
10	1:6	3:3	7:21	10:111	12:2	22:43	47:77	70:104	91:0	94:0
10	2:6	4:3	8:21	11:111	13:2	23:43	45:78	71:104	92:0	95:0
10	0:38	4:27	8:73	10:8	12:106	20:6	48:69	55:3	93:0	96:0
10	1:38	5:27	6:74	11:8	13:106	18:7	49:69	56:3	94:0	97:0
10	2:38	3:28	7:74	9:9	14:106	19:7	50:69	54:4	95:0	98:0
10	2:29	3:31	8:14	11:27	13:99	17:53	37:87	71:1	96:0	99:0
10	0:30	4:31	6:15	9:28	14:99	15:54	38:87	69:2	97:0	100:0
10	1:30	5:31	7:15	10:28	12:100	16:54	36:88	70:2	98:0	101:0
10	1:113	5:48	7:75	9:67	13:117	18:1	44:91	52:93	99:0	102:0
10	2:113	3:49	8:75	10:67	14:117	19:1	42:92	53:93	100:0	103:0
10	0:114	4:49	6:76	11:67	12:118	20:1	43:92	51:94	101:0	104:0
10	2:119	5:4	8:9	10:87	13:4	22:9	30:0	51:23	102:0	105:0
10	0:0	3:5	6:10	11:87	14:4	23:9	31:0	52:23	103:0	106:0
10	1:0	4:5	7:10	9:88	12:5	21:10	32:0	53:23	104:0	107:0
10	2:85	4:90	6:44	9:97	12:101	20:24	40:6	51:12	105:0	108:0
10	0:86	5:90	7:44	10:97	13:101	18:25	41:6	52:12	106:0	109:0
10	1:86	3:91	8:44	11:97	14:101	19:25	39:7	53:12	107:0	110:0
10	0:49	5:16	8:41	10:11	13:51	26:10	44:64	65:11	108:0	111:0
10	1:49	3:17	6:42	11:11	14:51	24:11	42:65	63:12	109:0	112:0
10	2:49	4:17	7:42	9:12	12:52	25:11	43:65	64:12	110:0	113:0
10	1:53	3:42	6:52	10:82	12:0	16:0	34:5	56:11	111:0	114:0
10	2:53	4:42	7:52	11:82	13:0	17:0	35:5	54:12	112:0	115:0
10	0:54	5:42	8:52	9:83	14:0	15:1	33:6	55:12	113:0	116:0
10	2:99	3:77	7:4	10:0	14:5	27:8	46:13	56:40	114:0	117:0
10	0:100	4:77	8:4	11:0	12:6	28:8	47:13	54:41	115:0	118:0
10	1:100	5:77	6:5	9:1	13:6	29:8	45:14	55:41	116:0	119:0
10	1:86	3:30	8:0	11:41	14:37	27:2	31:34	67:89	117:0	120:0
10	2:86	4:30	6:1	9:42	12:38	28:2	32:34	68:89	118:0	121:0
10	0:87	5:30	7:1	10:42	13:38	29:2	30:35	66:90	119:0	122:0
10	2:9	3:8	6:30	10:2	13:16	24:31	30:61	60:3	123:0	126:0
10	0:10	4:8	7:30	11:2	14:16	25:31	31:61	61:3	124:0	127:0
10	1:10	5:8	8:30	9:3	12:17	26:31	32:61	62:3	125:0	128:0
10	0:7	5:0	6:76	11:87	14:9	23:8	35:80	64:8	126:0	129:0
10	1:7	3:1	7:76	9:88	12:10	21:9	33:81	65:8	127:0	130:0
10	2:7	4:1	8:76	10:88	13:10	22:9	34:81	63:9	128:0	131:0
10	0:52	3:90	6:2	10:91	12:2	24:70	40:90	69:116	129:0	132:0
10	1:52	4:90	7:2	11:91	13:2	25:70	41:90	70:116	130:0	133:0
10	2:52	5:90	8:2	9:92	14:2	26:70	39:91	71:116	131:0	134:0
