7	13:77	75:18	175:31	230:9	238:4	270:0	539:119
7	14:77	76:18	176:31	228:10	239:4	271:0	537:0
7	12:78	77:18	174:32	229:10	237:5	272:0	538:0
7	22:26	30:50	46:31	129:75	238:96	510:0	513:0
7	23:26	31:50	47:31	130:75	239:96	511:0	514:0
7	21:27	32:50	45:32	131:75	237:97	512:0	515:0
7	27:107	40:56	61:87	160:23	230:86	513:0	516:0
7	28:107	41:56	62:87	161:23	228:87	514:0	517:0
7	29:107	39:57	60:88	159:24	229:87	515:0	518:0
7	17:71	70:36	193:60	227:106	241:104	516:0	519:0
7	15:72	71:36	194:60	225:107	242:104	517:0	520:0
7	16:72	69:37	192:61	226:107	240:105	518:0	521:0
7	11:27	109:7	139:51	233:1	245:77	519:0	522:0
7	9:28	110:7	140:51	231:2	243:78	520:0	523:0
7	10:28	108:8	138:52	232:2	244:78	521:0	524:0
7	19:115	29:0	47:98	167:31	249:26	522:0	525:0
7	20:115	27:1	45:99	165:32	250:26	523:0	526:0
7	18:116	28:1	46:99	166:32	251:26	524:0	527:0
7	12:4	26:118	51:104	182:32	237:114	525:0	528:0
7	13:4	24:119	52:104	180:33	238:114	526:0	529:0
7	14:4	25:119	53:104	181:33	239:114	527:0	530:0
7	6:18	50:84	199:16	226:23	236:86	528:0	531:0
7	7:18	48:85	200:16	227:23	234:87	529:0	532:0
7	8:18	49:85	198:17	225:24	235:87	530:0	533:0
7	15:105	26:106	84:104	126:92	231:90	531:0	534:0
7	16:105	24:107	85:104	127:92	232:90	532:0	535:0
7	17:105	25:107	86:104	128:92	233:90	533:0	536:0
7	9:73	28:81	34:90	183:14	244:29	534:0	537:0
7	10:73	29:81	35:90	184:14	245:29	535:0	538:0
7	11:73	27:82	33:91	185:14	243:30	536:0	539:0
8	7:23	22:116	94:78	168:47	241:12	255:88	270:0	273:0
8	8:23	23:116	95:78	169:47	242:12	256:88	271:0	274:0
8	6:24	21:117	93:79	170:47	240:13	257:88	272:0	275:0
8	8:72	110:11	206:111	226:71	239:92	265:49	273:0	276:0
8	6:73	108:12	204:112	227:71	237:93	266:49	274:0	277:0
8	7:73	109:12	205:112	225:72	238:93	264:50	275:0	278:0
8	5:38	18:31	121:56	180:112	232:111	242:74	276:0	279:0
8	3:39	19:31	122:56	181:112	233:111	240:75	277:0	280:0
8	4:39	20:31	120:57	182:112	231:112	241:75	278:0	281:0
8	2:63	26:106	130:14	144:116	229:114	245:93	279:0	282:0
8	0:64	24:107	131:14	145:116	230:114	243:94	280:0	283:0
8	1:64	25:107	129:15	146:116	228:115	244:94	281:0	284:0
8	10:46	19:5	116:77	207:89	235:41	252:113	282:0	285:0
8	11:46	20:5	114:78	208:89	236:41	253:113	283:0	286:0
8	9:47	18:6	115:78	209:89	234:42	254:113	284:0	287:0
8	15:39	24:93	41:4	58:77	153:0	241:116	285:0	288:0
8	16:39	25:93	39:5	59:77	154:0	242:116	286:0	289:0
8	17:39	26:93	40:5	57:78	155:0	240:117	287:0	290:0
8	5:16	14:10	74:91	183:14	234:72	250:43	288:0	291:0
8	3:17	12:11	72:92	184:14	235:72	251:43	289:0	292:0
8	4:17	13:11	73:92	185:14	236:72	249:44	290:0	293:0
8	8:63	17:91	120:52	163:6	229:60	248:119	291:0	294:0
8	6:64	15:92	121:52	164:6	230:60	246:0	292:0	295:0
8	7:64	16:92	122:52	162:7	228:61	247:0	293:0	296:0
8	2:105	23:66	64:94	219:76	227:89	243:89	294:0	297:0
8	0:106	21:67	65:94	220:76	225:90	244:89	295:0	298:0
8	1:106	22:67	63:95	221:76	226:90	245:89	296:0	299:0
8	4:90	17:31	97:81	136:20	236:17	260:108	297:0	300:0
8	5:90	15:32	98:81	137:20	234:18	258:109	298:0	301:0
8	3:91	16:32	96:82	135:21	235:18	259:109	299:0	302:0
8	6:38	11:91	28:80	118:93	187:108	254:30	300:0	303:0
8	7:38	9:92	29:80	119:93	188:108	252:31	301:0	304:0
8	8:38	10:92	27:81	117:94	186:109	253:31	302:0	305:0
