4	26:6	48:37	174:0	177:0
4	24:7	49:37	175:0	178:0
4	25:7	50:37	176:0	179:0
4	44:7	45:4	204:0	207:0
4	42:8	46:4	205:0	208:0
4	43:8	47:4	206:0	209:0
4	59:34	65:12	234:0	237:0
4	57:35	63:13	235:0	238:0
4	58:35	64:13	236:0	239:0
4	1:108	12:82	270:0	273:0
4	2:108	13:82	271:0	274:0
4	0:109	14:82	272:0	275:0
4	30:25	35:67	300:0	303:0
4	31:25	33:68	301:0	304:0
4	32:25	34:68	302:0	305:0
4	6:49	39:110	330:0	333:0
4	7:49	40:110	331:0	334:0
4	8:49	41:110	332:0	335:0
4	57:12	134:86	366:0	369:0
4	58:12	132:87	367:0	370:0
4	59:12	133:87	368:0	371:0
4	2:6	16:68	396:0	399:0
4	0:7	17:68	397:0	400:0
4	1:7	15:69	398:0	401:0
4	26:100	97:74	426:0	429:0
4	24:101	98:74	427:0	430:0
4	25:101	96:75	428:0	431:0
4	23:70	123:101	462:0	465:0
4	21:71	124:101	463:0	466:0
4	22:71	125:101	464:0	467:0
4	21:26	105:16	492:0	495:0
4	22:26	106:16	493:0	496:0
4	23:26	107:16	494:0	497:0
4	2:30	33:12	522:0	525:0
4	0:31	34:12	523:0	526:0
4	1:31	35:12	524:0	527:0
5	9:39	48:118	72:105	156:0	539:119
5	10:39	49:118	73:105	157:0	537:0
5	11:39	50:118	74:105	158:0	538:0
5	4:90	43:15	46:39	156:0	159:0
5	5:90	44:15	47:39	157:0	160:0
5	3:91	42:16	45:40	158:0	161:0
5	15:84	111:21	118:83	159:0	162:0
5	16:84	112:21	119:83	160:0	163:0
5	17:84	113:21	117:84	161:0	164:0
5	15:15	30:11	68:84	162:0	165:0
5	16:15	31:11	66:85	163:0	166:0
5	17:15	32:11	67:85	164:0	167:0
5	49:116	93:80	119:114	165:0	168:0
5	50:116	94:80	117:115	166:0	169:0
5	48:117	95:80	118:115	167:0	170:0
5	60:46	70:91	106:116	168:0	171:0
5	61:46	71:91	107:116	169:0	172:0
5	62:46	69:92	105:117	170:0	173:0
5	3:66	10:47	12:51	171:0	174:0
5	4:66	11:47	13:51	172:0	175:0
5	5:66	9:48	14:51	173:0	176:0
5	9:5	12:11	71:66	177:0	180:0
5	10:5	13:11	69:67	178:0	181:0
5	11:5	14:11	70:67	179:0	182:0
5	16:8	65:64	83:3	180:0	183:0
5	17:8	63:65	81:4	181:0	184:0
5	15:9	64:65	82:4	182:0	185:0
5	11:1	52:20	144:57	183:0	186:0
5	9:2	53:20	145:57	184:0	187:0
5	10:2	51:21	146:57	185:0	188:0
5	6:35	15:19	34:50	186:0	189:0
5	7:35	16:19	35:50	187:0	190:0
5	8:35	17:19	33:51	188:0	191:0
5	29:66	37:57	112:10	189:0	192:0
5	27:67	38:57	113:10	190:0	193:0
5	28:67	36:58	111:11	191:0	194:0
5	37:14	56:70	62:80	192:0	195:0
5	38:14	54:71	60:81	193:0	196:0
5	36:15	55:71	61:81	194:0	197:0
5	28:82	42:27	63:102	195:0	198:0
5	29:82	43:27	64:102	196:0	199:0
5	27:83	44:27	65:102	197:0	200:0
