10	18:76	25:2	33:17	51:57	65:7	122:2	186:2	289:3	501:0	504:0
10	19:76	26:2	34:17	52:57	63:8	120:3	187:2	290:3	502:0	505:0
10	20:76	24:3	35:17	53:57	64:8	121:3	188:2	288:4	503:0	506:0
11	0:55	18:0	30:24	40:5	51:0	104:54	111:74	214:7	282:0	324:0	539:119
11	1:55	19:0	31:24	41:5	52:0	102:55	112:74	215:7	283:0	325:0	537:0
11	2:55	20:0	32:24	39:6	53:0	103:55	113:74	213:8	284:0	326:0	538:0
11	8:119	20:51	27:0	33:7	54:69	67:33	154:48	246:104	293:108	324:0	327:0
11	6:0	18:52	28:0	34:7	55:69	68:33	155:48	247:104	291:109	325:0	328:0
11	7:0	19:52	29:0	35:7	56:69	66:34	153:49	248:104	292:109	326:0	329:0
11	1:47	13:63	35:17	43:89	47:1	93:0	126:0	218:9	285:11	327:0	330:0
11	2:47	14:63	33:18	44:89	45:2	94:0	127:0	216:10	286:11	328:0	331:0
11	0:48	12:64	34:18	42:90	46:2	95:0	128:0	217:10	287:11	329:0	332:0
11	1:7	21:20	25:1	33:114	52:50	102:23	134:34	235:9	316:119	330:0	333:0
11	2:7	22:20	26:1	34:114	53:50	103:23	132:35	236:9	317:119	331:0	334:0
11	0:8	23:20	24:2	35:114	51:51	104:23	133:35	234:10	315:0	332:0	335:0
11	2:104	12:4	27:79	41:14	46:6	83:2	146:11	217:0	259:0	333:0	336:0
11	0:105	13:4	28:79	39:15	47:6	81:3	144:12	218:0	260:0	334:0	337:0
11	1:105	14:4	29:79	40:15	45:7	82:3	145:12	216:1	258:1	335:0	338:0
11	10:113	19:0	23:7	41:75	56:13	62:29	141:4	202:85	275:9	336:0	339:0
11	11:113	20:0	21:8	39:76	54:14	60:30	142:4	203:85	273:10	337:0	340:0
11	9:114	18:1	22:8	40:76	55:14	61:30	143:4	201:86	274:10	338:0	341:0
11	1:30	18:81	29:1	36:102	49:93	77:97	172:105	244:42	298:51	339:0	342:0
11	2:30	19:81	27:2	37:102	50:93	75:98	173:105	245:42	299:51	340:0	343:0
11	0:31	20:81	28:2	38:102	48:94	76:98	171:106	243:43	297:52	341:0	344:0
11	5:2	14:0	24:116	44:27	49:0	88:22	150:0	215:83	309:3	342:0	345:0
