4	10:8	108:0	276:0	288:0
4	11:8	109:0	277:0	289:0
4	0:9	110:0	278:0	290:0
4	1:9	111:0	279:0	291:0
4	2:9	112:0	280:0	292:0
4	3:9	113:0	281:0	293:0
4	4:9	114:0	282:0	294:0
4	5:9	115:0	283:0	295:0
4	6:9	116:0	284:0	296:0
4	7:9	117:0	285:0	297:0
4	8:9	118:0	286:0	298:0
4	9:9	119:0	287:0	299:0
4	132:0	164:14	300:0	312:0
4	133:0	165:14	301:0	313:0
4	134:0	166:14	302:0	314:0
4	135:0	167:14	303:0	315:0
4	136:0	156:15	304:0	316:0
4	137:0	157:15	305:0	317:0
4	138:0	158:15	306:0	318:0
4	139:0	159:15	307:0	319:0
4	140:0	160:15	308:0	320:0
4	141:0	161:15	309:0	321:0
4	142:0	162:15	310:0	322:0
4	143:0	163:15	311:0	323:0
4	41:26	82:29	420:0	432:0
4	42:26	83:29	421:0	433:0
4	43:26	72:0	422:0	434:0
4	44:26	73:0	423:0	435:0
4	45:26	74:0	424:0	436:0
4	46:26	75:0	425:0	437:0
4	47:26	76:0	426:0	438:0
4	36:27	77:0	427:0	439:0
4	37:27	78:0	428:0	440:0
4	38:27	79:0	429:0	441:0
4	39:27	80:0	430:0	442:0
4	40:27	81:0	431:0	443:0
4	26:29	93:7	456:0	468:0
4	27:29	94:7	457:0	469:0
4	28:29	95:7	458:0	470:0
4	29:29	84:8	459:0	471:0
4	30:29	85:8	460:0	472:0
4	31:29	86:8	461:0	473:0
4	32:29	87:8	462:0	474:0
4	33:29	88:8	463:0	475:0
4	34:29	89:8	464:0	476:0
4	35:29	90:8	465:0	477:0
4	24:0	91:8	466:0	478:0
4	25:0	92:8	467:0	479:0
5	60:0	110:17	234:18	240:0	539:29
5	61:0	111:17	235:18	241:0	528:0
5	62:0	112:17	236:18	242:0	529:0
5	63:0	113:17	237:18	243:0	530:0
5	64:0	114:17	238:18	244:0	531:0
5	65:0	115:17	239:18	245:0	532:0
5	66:0	116:17	228:19	246:0	533:0
5	67:0	117:17	229:19	247:0	534:0
5	68:0	118:17	230:19	248:0	535:0
5	69:0	119:17	231:19	249:0	536:0
5	70:0	108:18	232:19	250:0	537:0
5	71:0	109:18	233:19	251:0	538:0
5	78:20	120:0	165:19	288:0	300:0
5	79:20	121:0	166:19	289:0	301:0
5	80:20	122:0	167:19	290:0	302:0
5	81:20	123:0	156:20	291:0	303:0
5	82:20	124:0	157:20	292:0	304:0
5	83:20	125:0	158:20	293:0	305:0
5	72:21	126:0	159:20	294:0	306:0
5	73:21	127:0	160:20	295:0	307:0
5	74:21	128:0	161:20	296:0	308:0
5	75:21	129:0	162:20	297:0	309:0
5	76:21	130:0	163:20	298:0	310:0
5	77:21	131:0	164:20	299:0	311:0
5	28:18	144:0	222:26	312:0	324:0
5	29:18	145:0	223:26	313:0	325:0
5	30:18	146:0	224:26	314:0	326:0
5	31:18	147:0	225:26	315:0	327:0
5	32:18	148:0	226:26	316:0	328:0
5	33:18	149:0	227:26	317:0	329:0
5	34:18	150:0	216:27	318:0	330:0
5	35:18	151:0	217:27	319:0	331:0
5	24:19	152:0	218:27	320:0	332:0
5	25:19	153:0	219:27	321:0	333:0
5	26:19	154:0	220:27	322:0	334:0
5	27:19	155:0	221:27	323:0	335:0
5	71:6	168:0	181:17	336:0	348:0
5	60:7	169:0	182:17	337:0	349:0
5	61:7	170:0	183:17	338:0	350:0
