11	72:0	145:22	170:18	192:0	207:27	264:29	312:0	316:14	330:7	420:0	432:0
11	73:0	146:22	171:18	193:0	208:27	265:29	313:0	317:14	331:7	421:0	433:0
11	74:0	147:22	172:18	194:0	209:27	266:29	314:0	318:14	332:7	422:0	434:0
11	75:0	148:22	173:18	195:0	210:27	267:29	315:0	319:14	333:7	423:0	435:0
11	76:0	149:22	174:18	196:0	211:27	268:29	316:0	320:14	334:7	424:0	436:0
11	77:0	150:22	175:18	197:0	212:27	269:29	317:0	321:14	335:7	425:0	437:0
11	78:0	151:22	176:18	198:0	213:27	270:29	318:0	322:14	324:8	426:0	438:0
11	79:0	152:22	177:18	199:0	214:27	271:29	319:0	323:14	325:8	427:0	439:0
11	80:0	153:22	178:18	200:0	215:27	272:29	312:15	320:0	326:8	428:0	440:0
11	81:0	154:22	179:18	201:0	204:28	273:29	313:15	321:0	327:8	429:0	441:0
11	82:0	155:22	168:19	202:0	205:28	274:29	314:15	322:0	328:8	430:0	442:0
11	83:0	144:23	169:19	203:0	206:28	275:29	315:15	323:0	329:8	431:0	443:0
12	27:3	60:0	73:28	125:12	180:0	192:15	200:2	300:0	331:16	374:1	420:0	539:29
12	28:3	61:0	74:28	126:12	181:0	193:15	201:2	301:0	332:16	375:1	421:0	528:0
12	29:3	62:0	75:28	127:12	182:0	194:15	202:2	302:0	333:16	376:1	422:0	529:0
12	30:3	63:0	76:28	128:12	183:0	195:15	203:2	303:0	334:16	377:1	423:0	530:0
12	31:3	64:0	77:28	129:12	184:0	192:3	196:15	304:0	335:16	378:1	424:0	531:0
12	32:3	65:0	78:28	130:12	185:0	193:3	197:15	305:0	324:17	379:1	425:0	532:0
12	33:3	66:0	79:28	131:12	186:0	194:3	198:15	306:0	325:17	380:1	426:0	533:0
12	34:3	67:0	80:28	120:13	187:0	195:3	199:15	307:0	326:17	381:1	427:0	534:0
12	35:3	68:0	81:28	121:13	188:0	196:3	200:15	308:0	327:17	382:1	428:0	535:0
12	24:4	69:0	82:28	122:13	189:0	197:3	201:15	309:0	328:17	383:1	429:0	536:0
12	25:4	70:0	83:28	123:13	190:0	198:3	202:15	310:0	329:17	372:2	430:0	537:0
12	26:4	71:0	72:29	124:13	191:0	199:3	203:15	311:0	330:17	373:2	431:0	538:0
12	15:9	70:7	96:0	104:27	216:0	242:27	246:18	336:0	344:2	360:28	444:0	456:0
12	16:9	71:7	97:0	105:27	217:0	243:27	247:18	337:0	345:2	361:28	445:0	457:0
12	17:9	60:8	98:0	106:27	218:0	244:27	248:18	338:0	346:2	362:28	446:0	458:0
12	18:9	61:8	99:0	107:27	219:0	245:27	249:18	339:0	347:2	363:28	447:0	459:0
12	19:9	62:8	96:28	100:0	220:0	246:27	250:18	336:3	340:0	364:28	448:0	460:0
12	20:9	63:8	97:28	101:0	221:0	247:27	251:18	337:3	341:0	365:28	449:0	461:0
12	21:9	64:8	98:28	102:0	222:0	240:19	248:27	338:3	342:0	366:28	450:0	462:0
12	22:9	65:8	99:28	103:0	223:0	241:19	249:27	339:3	343:0	367:28	451:0	463:0
12	23:9	66:8	100:28	104:0	224:0	242:19	250:27	340:3	344:0	368:28	452:0	464:0
12	12:10	67:8	101:28	105:0	225:0	243:19	251:27	341:3	345:0	369:28	453:0	465:0
12	13:10	68:8	102:28	106:0	226:0	240:28	244:19	342:3	346:0	370:28	454:0	466:0
12	14:10	69:8	103:28	107:0	227:0	241:28	245:19	343:3	347:0	371:28	455:0	467:0
12	18:28	93:6	108:0	133:13	228:0	255:29	287:6	310:16	348:0	365:4	456:0	468:0
12	19:28	94:6	109:0	134:13	229:0	256:29	276:7	311:16	349:0	366:4	457:0	469:0
12	20:28	95:6	110:0	135:13	230:0	257:29	277:7	300:17	350:0	367:4	458:0	470:0
12	21:28	84:7	111:0	136:13	231:0	258:29	278:7	301:17	351:0	368:4	459:0	471:0
12	22:28	85:7	112:0	137:13	232:0	259:29	279:7	302:17	352:0	369:4	460:0	472:0
12	23:28	86:7	113:0	138:13	233:0	260:29	280:7	303:17	353:0	370:4	461:0	473:0
12	12:29	87:7	114:0	139:13	234:0	261:29	281:7	304:17	354:0	371:4	462:0	474:0
12	13:29	88:7	115:0	140:13	235:0	262:29	282:7	305:17	355:0	360:5	463:0	475:0
12	14:29	89:7	116:0	141:13	236:0	263:29	283:7	306:17	356:0	361:5	464:0	476:0
12	15:29	90:7	117:0	142:13	237:0	252:0	284:7	307:17	357:0	362:5	465:0	477:0
12	16:29	91:7	118:0	143:13	238:0	253:0	285:7	308:17	358:0	363:5	466:0	478:0
12	17:29	92:7	119:0	132:14	239:0	254:0	286:7	309:17	359:0	364:5	467:0	479:0
13	27:28	59:24	84:0	118:22	162:0	181:11	204:0	225:8	300:24	324:0	343:15	432:0	444:0
13	28:28	48:25	85:0	119:22	163:0	182:11	205:0	226:8	301:24	325:0	344:15	433:0	445:0
13	29:28	49:25	86:0	108:23	164:0	183:11	206:0	227:8	302:24	326:0	345:15	434:0	446:0
13	30:28	50:25	87:0	109:23	165:0	184:11	207:0	216:9	303:24	327:0	346:15	435:0	447:0
13	31:28	51:25	88:0	110:23	166:0	185:11	208:0	217:9	304:24	328:0	347:15	436:0	448:0
13	32:28	52:25	89:0	111:23	167:0	186:11	209:0	218:9	305:24	329:0	336:16	437:0	449:0
13	33:28	53:25	90:0	112:23	156:1	187:11	210:0	219:9	306:24	330:0	337:16	438:0	450:0
13	34:28	54:25	91:0	113:23	157:1	188:11	211:0	220:9	307:24	331:0	338:16	439:0	451:0
13	35:28	55:25	92:0	114:23	158:1	189:11	212:0	221:9	308:24	332:0	339:16	440:0	452:0
13	24:29	56:25	93:0	115:23	159:1	190:11	213:0	222:9	309:24	333:0	340:16	441:0	453:0
13	25:29	57:25	94:0	116:23	160:1	191:11	214:0	223:9	310:24	334:0	341:16	442:0	454:0
13	26:29	58:25	95:0	117:23	161:1	180:12	215:0	224:9	311:24	335:0	342:16	443:0	455:0
13	0:0	0:17	79:7	86:13	120:0	218:26	240:0	295:14	360:0	374:22	414:0	468:0	480:0
13	1:0	1:17	80:7	87:13	121:0	219:26	241:0	296:14	361:0	375:22	415:0	469:0	481:0
13	2:0	2:17	81:7	88:13	122:0	220:26	242:0	297:14	362:0	376:22	416:0	470:0	482:0
13	3:0	3:17	82:7	89:13	123:0	221:26	243:0	298:14	363:0	377:22	417:0	471:0	483:0
13	4:0	4:17	83:7	90:13	124:0	222:26	244:0	299:14	364:0	378:22	418:0	472:0	484:0
13	5:0	5:17	72:8	91:13	125:0	223:26	245:0	288:15	365:0	379:22	419:0	473:0	485:0
13	6:0	6:17	73:8	92:13	126:0	224:26	246:0	289:15	366:0	380:22	408:1	474:0	486:0
13	7:0	7:17	74:8	93:13	127:0	225:26	247:0	290:15	367:0	381:22	409:1	475:0	487:0
13	8:0	8:17	75:8	94:13	128:0	226:26	248:0	291:15	368:0	382:22	410:1	476:0	488:0
13	9:0	9:17	76:8	95:13	129:0	227:26	249:0	292:15	369:0	383:22	411:1	477:0	489:0
13	10:0	10:17	77:8	84:14	130:0	216:27	250:0	293:15	370:0	372:23	412:1	478:0	490:0
13	11:0	11:17	78:8	85:14	131:0	217:27	251:0	294:15	371:0	373:23	413:1	479:0	491:0
13	7:22	12:0	131:26	132:0	132:11	252:0	253:28	293:12	372:0	390:15	400:25	480:0	492:0
13	8:22	13:0	120:27	133:0	133:11	253:0	254:28	294:12	373:0	391:15	401:25	481:0	493:0
13	9:22	14:0	121:27	134:0	134:11	254:0	255:28	295:12	374:0	392:15	402:25	482:0	494:0
13	10:22	15:0	122:27	135:0	135:11	255:0	256:28	296:12	375:0	393:15	403:25	483:0	495:0
13	11:22	16:0	123:27	136:0	136:11	256:0	257:28	297:12	376:0	394:15	404:25	484:0	496:0
13	0:23	17:0	124:27	137:0	137:11	257:0	258:28	298:12	377:0	395:15	405:25	485:0	497:0
13	1:23	18:0	125:27	138:0	138:11	258:0	259:28	299:12	378:0	384:16	406:25	486:0	498:0
13	2:23	19:0	126:27	139:0	139:11	259:0	260:28	288:13	379:0	385:16	407:25	487:0	499:0
13	3:23	20:0	127:27	140:0	140:11	260:0	261:28	289:13	380:0	386:16	396:26	488:0	500:0
13	4:23	21:0	128:27	141:0	141:11	261:0	262:28	290:13	381:0	387:16	397:26	489:0	501:0
13	5:23	22:0	129:27	142:0	142:11	262:0	263:28	291:13	382:0	388:16	398:26	490:0	502:0
13	6:23	23:0	130:27	143:0	143:11	252:29	263:0	292:13	383:0	389:16	399:26	491:0	503:0
13	24:0	36:24	70:13	144:0	174:27	181:20	264:0	283:17	312:7	384:0	398:18	492:0	504:0
13	25:0	37:24	71:13	145:0	175:27	182:20	265:0	284:17	313:7	385:0	399:18	493:0	505:0
13	26:0	38:24	60:14	146:0	176:27	183:20	266:0	285:17	314:7	386:0	400:18	494:0	506:0
13	27:0	39:24	61:14	147:0	177:27	184:20	267:0	286:17	315:7	387:0	401:18	495:0	507:0
13	28:0	40:24	62:14	148:0	178:27	185:20	268:0	287:17	316:7	388:0	402:18	496:0	508:0
13	29:0	41:24	63:14	149:0	179:27	186:20	269:0	276:18	317:7	389:0	403:18	497:0	509:0
13	30:0	42:24	64:14	150:0	168:28	187:20	270:0	277:18	318:7	390:0	404:18	498:0	510:0
