4	27:24	126:0	300:0	312:0
4	28:24	127:0	301:0	313:0
4	29:24	128:0	302:0	314:0
4	30:24	129:0	303:0	315:0
4	31:24	130:0	304:0	316:0
4	32:24	131:0	305:0	317:0
4	33:24	120:1	306:0	318:0
4	34:24	121:1	307:0	319:0
4	35:24	122:1	308:0	320:0
4	24:25	123:1	309:0	321:0
4	25:25	124:1	310:0	322:0
4	26:25	125:1	311:0	323:0
4	30:7	51:11	372:0	384:0
4	31:7	52:11	373:0	385:0
4	32:7	53:11	374:0	386:0
4	33:7	54:11	375:0	387:0
4	34:7	55:11	376:0	388:0
4	35:7	56:11	377:0	389:0
4	24:8	57:11	378:0	390:0
4	25:8	58:11	379:0	391:0
4	26:8	59:11	380:0	392:0
4	27:8	48:12	381:0	393:0
4	28:8	49:12	382:0	394:0
4	29:8	50:12	383:0	395:0
4	15:2	91:17	396:0	408:0
4	16:2	92:17	397:0	409:0
4	17:2	93:17	398:0	410:0
4	18:2	94:17	399:0	411:0
4	19:2	95:17	400:0	412:0
4	20:2	84:18	401:0	413:0
4	21:2	85:18	402:0	414:0
4	22:2	86:18	403:0	415:0
4	23:2	87:18	404:0	416:0
4	12:3	88:18	405:0	417:0
4	13:3	89:18	406:0	418:0
4	14:3	90:18	407:0	419:0
5	3:18	25:16	76:0	144:0	539:29
5	4:18	26:16	77:0	145:0	528:0
5	5:18	27:16	78:0	146:0	529:0
5	6:18	28:16	79:0	147:0	530:0
5	7:18	29:16	80:0	148:0	531:0
5	8:18	30:16	81:0	149:0	532:0
5	9:18	31:16	82:0	150:0	533:0
5	10:18	32:16	83:0	151:0	534:0
5	11:18	33:16	72:1	152:0	535:0
5	0:19	34:16	73:1	153:0	536:0
5	1:19	35:16	74:1	154:0	537:0
5	2:19	24:17	75:1	155:0	538:0
5	9:8	31:18	99:24	144:0	156:0
5	10:8	32:18	100:24	145:0	157:0
5	11:8	33:18	101:24	146:0	158:0
5	0:9	34:18	102:24	147:0	159:0
5	1:9	35:18	103:24	148:0	160:0
5	2:9	24:19	104:24	149:0	161:0
5	3:9	25:19	105:24	150:0	162:0
5	4:9	26:19	106:24	151:0	163:0
5	5:9	27:19	107:24	152:0	164:0
5	6:9	28:19	96:25	153:0	165:0
5	7:9	29:19	97:25	154:0	166:0
5	8:9	30:19	98:25	155:0	167:0
5	13:6	32:21	63:8	156:0	168:0
5	14:6	33:21	64:8	157:0	169:0
5	15:6	34:21	65:8	158:0	170:0
5	16:6	35:21	66:8	159:0	171:0
5	17:6	24:22	67:8	160:0	172:0
