9	10:1	16:10	29:13	47:6	52:4	200:6	245:21	480:0	492:0
9	11:1	17:10	30:13	36:7	53:4	201:6	246:21	481:0	493:0
9	0:2	18:10	31:13	37:7	54:4	202:6	247:21	482:0	494:0
9	1:2	19:10	32:13	38:7	55:4	203:6	248:21	483:0	495:0
9	2:2	20:10	33:13	39:7	56:4	192:7	249:21	484:0	496:0
9	3:2	21:10	34:13	40:7	57:4	193:7	250:21	485:0	497:0
9	4:2	22:10	35:13	41:7	58:4	194:7	251:21	486:0	498:0
9	5:2	23:10	24:14	42:7	59:4	195:7	240:22	487:0	499:0
9	6:2	12:11	25:14	43:7	48:5	196:7	241:22	488:0	500:0
9	7:2	13:11	26:14	44:7	49:5	197:7	242:22	489:0	501:0
9	8:2	14:11	27:14	45:7	50:5	198:7	243:22	490:0	502:0
9	9:2	15:11	28:14	46:7	51:5	199:7	244:22	491:0	503:0
10	6:11	16:0	29:1	38:3	54:18	79:9	167:0	259:21	288:0	539:29
10	7:11	17:0	30:1	39:3	55:18	80:9	156:1	260:21	289:0	528:0
10	8:11	18:0	31:1	40:3	56:18	81:9	157:1	261:21	290:0	529:0
10	9:11	19:0	32:1	41:3	57:18	82:9	158:1	262:21	291:0	530:0
10	10:11	20:0	33:1	42:3	58:18	83:9	159:1	263:21	292:0	531:0
10	11:11	21:0	34:1	43:3	59:18	72:10	160:1	252:22	293:0	532:0
10	0:12	22:0	35:1	44:3	48:19	73:10	161:1	253:22	294:0	533:0
10	1:12	23:0	24:2	45:3	49:19	74:10	162:1	254:22	295:0	534:0
10	2:12	12:1	25:2	46:3	50:19	75:10	163:1	255:22	296:0	535:0
10	3:12	13:1	26:2	47:3	51:19	76:10	164:1	256:22	297:0	536:0
10	4:12	14:1	27:2	36:4	52:19	77:10	165:1	257:22	298:0	537:0
10	5:12	15:1	28:2	37:4	53:19	78:10	166:1	258:22	299:0	538:0
10	2:10	15:2	35:6	47:18	57:11	70:13	168:19	272:17	288:0	300:0
10	3:10	16:2	24:7	36:19	58:11	71:13	169:19	273:17	289:0	301:0
10	4:10	17:2	25:7	37:19	59:11	60:14	170:19	274:17	290:0	302:0
10	5:10	18:2	26:7	38:19	48:12	61:14	171:19	275:17	291:0	303:0
10	6:10	19:2	27:7	39:19	49:12	62:14	172:19	264:18	292:0	304:0
10	7:10	20:2	28:7	40:19	50:12	63:14	173:19	265:18	293:0	305:0
10	8:10	21:2	29:7	41:19	51:12	64:14	174:19	266:18	294:0	306:0
10	9:10	22:2	30:7	42:19	52:12	65:14	175:19	267:18	295:0	307:0
10	10:10	23:2	31:7	43:19	53:12	66:14	176:19	268:18	296:0	308:0
10	11:10	12:3	32:7	44:19	54:12	67:14	177:19	269:18	297:0	309:0
10	0:11	13:3	33:7	45:19	55:12	68:14	178:19	270:18	298:0	310:0
10	1:11	14:3	34:7	46:19	56:12	69:14	179:19	271:18	299:0	311:0
10	2:22	22:1	25:6	43:6	53:0	104:9	148:7	235:0	300:0	312:0
10	3:22	23:1	26:6	44:6	54:0	105:9	149:7	236:0	301:0	313:0
10	4:22	12:2	27:6	45:6	55:0	106:9	150:7	237:0	302:0	314:0
10	5:22	13:2	28:6	46:6	56:0	107:9	151:7	238:0	303:0	315:0
10	6:22	14:2	29:6	47:6	57:0	96:10	152:7	239:0	304:0	316:0
10	7:22	15:2	30:6	36:7	58:0	97:10	153:7	228:1	305:0	317:0
10	8:22	16:2	31:6	37:7	59:0	98:10	154:7	229:1	306:0	318:0
10	9:22	17:2	32:6	38:7	48:1	99:10	155:7	230:1	307:0	319:0
10	10:22	18:2	33:6	39:7	49:1	100:10	144:8	231:1	308:0	320:0
10	11:22	19:2	34:6	40:7	50:1	101:10	145:8	232:1	309:0	321:0
10	0:23	20:2	35:6	41:7	51:1	102:10	146:8	233:1	310:0	322:0
10	1:23	21:2	24:7	42:7	52:1	103:10	147:8	234:1	311:0	323:0
10	8:27	23:22	33:6	37:3	52:27	118:5	139:8	238:2	312:0	324:0
10	9:27	12:23	34:6	38:3	53:27	119:5	140:8	239:2	313:0	325:0
10	10:27	13:23	35:6	39:3	54:27	108:6	141:8	228:3	314:0	326:0
10	11:27	14:23	24:7	40:3	55:27	109:6	142:8	229:3	315:0	327:0
10	0:28	15:23	25:7	41:3	56:27	110:6	143:8	230:3	316:0	328:0
10	1:28	16:23	26:7	42:3	57:27	111:6	132:9	231:3	317:0	329:0
10	2:28	17:23	27:7	43:3	58:27	112:6	133:9	232:3	318:0	330:0
10	3:28	18:23	28:7	44:3	59:27	113:6	134:9	233:3	319:0	331:0
10	4:28	19:23	29:7	45:3	48:28	114:6	135:9	234:3	320:0	332:0
10	5:28	20:23	30:7	46:3	49:28	115:6	136:9	235:3	321:0	333:0
10	6:28	21:23	31:7	47:3	50:28	116:6	137:9	236:3	322:0	334:0
10	7:28	22:23	32:7	36:4	51:28	117:6	138:9	237:3	323:0	335:0
10	1:22	16:0	31:8	44:3	57:26	117:18	184:18	241:0	324:0	336:0
10	2:22	17:0	32:8	45:3	58:26	118:18	185:18	242:0	325:0	337:0
10	3:22	18:0	33:8	46:3	59:26	119:18	186:18	243:0	326:0	338:0
10	4:22	19:0	34:8	47:3	48:27	108:19	187:18	244:0	327:0	339:0
10	5:22	20:0	35:8	36:4	49:27	109:19	188:18	245:0	328:0	340:0
10	6:22	21:0	24:9	37:4	50:27	110:19	189:18	246:0	329:0	341:0
10	7:22	22:0	25:9	38:4	51:27	111:19	190:18	247:0	330:0	342:0
10	8:22	23:0	26:9	39:4	52:27	112:19	191:18	248:0	331:0	343:0
10	9:22	12:1	27:9	40:4	53:27	113:19	180:19	249:0	332:0	344:0
10	10:22	13:1	28:9	41:4	54:27	114:19	181:19	250:0	333:0	345:0
10	11:22	14:1	29:9	42:4	55:27	115:19	182:19	251:0	334:0	346:0
10	0:23	15:1	30:9	43:4	56:27	116:19	183:19	240:1	335:0	347:0
10	7:15	20:2	28:6	43:0	53:1	60:1	200:11	236:23	336:0	348:0
10	8:15	21:2	29:6	44:0	54:1	61:1	201:11	237:23	337:0	349:0
10	9:15	22:2	30:6	45:0	55:1	62:1	202:11	238:23	338:0	350:0
10	10:15	23:2	31:6	46:0	56:1	63:1	203:11	239:23	339:0	351:0
10	11:15	12:3	32:6	47:0	57:1	64:1	192:12	228:24	340:0	352:0
10	0:16	13:3	33:6	36:1	58:1	65:1	193:12	229:24	341:0	353:0
10	1:16	14:3	34:6	37:1	59:1	66:1	194:12	230:24	342:0	354:0
10	2:16	15:3	35:6	38:1	48:2	67:1	195:12	231:24	343:0	355:0
10	3:16	16:3	24:7	39:1	49:2	68:1	196:12	232:24	344:0	356:0
10	4:16	17:3	25:7	40:1	50:2	69:1	197:12	233:24	345:0	357:0
10	5:16	18:3	26:7	41:1	51:2	70:1	198:12	234:24	346:0	358:0
10	6:16	19:3	27:7	42:1	52:2	71:1	199:12	235:24	347:0	359:0
10	6:28	16:7	33:8	44:16	52:26	88:17	150:9	264:10	348:0	360:0
10	7:28	17:7	34:8	45:16	53:26	89:17	151:9	265:10	349:0	361:0
10	8:28	18:7	35:8	46:16	54:26	90:17	152:9	266:10	350:0	362:0
10	9:28	19:7	24:9	47:16	55:26	91:17	153:9	267:10	351:0	363:0
10	10:28	20:7	25:9	36:17	56:26	92:17	154:9	268:10	352:0	364:0
10	11:28	21:7	26:9	37:17	57:26	93:17	155:9	269:10	353:0	365:0
10	0:29	22:7	27:9	38:17	58:26	94:17	144:10	270:10	354:0	366:0
