11	48:0	97:33	114:27	128:0	143:40	180:43	208:0	212:21	218:11	280:0	288:0
11	49:0	98:33	115:27	129:0	136:41	181:43	209:0	213:21	219:11	281:0	289:0
11	50:0	99:33	116:27	130:0	137:41	182:43	210:0	214:21	220:11	282:0	290:0
11	51:0	100:33	117:27	131:0	138:41	183:43	211:0	215:21	221:11	283:0	291:0
11	52:0	101:33	118:27	132:0	139:41	176:44	208:22	212:0	222:11	284:0	292:0
11	53:0	102:33	119:27	133:0	140:41	177:44	209:22	213:0	223:11	285:0	293:0
11	54:0	103:33	112:28	134:0	141:41	178:44	210:22	214:0	216:12	286:0	294:0
11	55:0	96:34	113:28	135:0	142:41	179:44	211:22	215:0	217:12	287:0	295:0
12	23:4	40:0	49:42	85:18	120:0	128:4	132:22	200:0	223:24	254:1	280:0	359:44
12	16:5	41:0	50:42	86:18	121:0	129:4	133:22	201:0	216:25	255:1	281:0	352:0
12	17:5	42:0	51:42	87:18	122:0	130:4	134:22	202:0	217:25	248:2	282:0	353:0
12	18:5	43:0	52:42	80:19	123:0	131:4	135:22	203:0	218:25	249:2	283:0	354:0
12	19:5	44:0	53:42	81:19	124:0	128:23	132:4	204:0	219:25	250:2	284:0	355:0
12	20:5	45:0	54:42	82:19	125:0	129:23	133:4	205:0	220:25	251:2	285:0	356:0
12	21:5	46:0	55:42	83:19	126:0	130:23	134:4	206:0	221:25	252:2	286:0	357:0
12	22:5	47:0	48:43	84:19	127:0	131:23	135:4	207:0	222:25	253:2	287:0	358:0
12	15:13	46:11	64:0	68:41	144:0	166:27	166:40	224:0	224:4	240:42	296:0	304:0
12	8:14	47:11	65:0	69:41	145:0	167:27	167:40	225:0	225:4	241:42	297:0	305:0
12	9:14	40:12	66:0	70:41	146:0	160:28	160:41	226:0	226:4	242:42	298:0	306:0
12	10:14	41:12	67:0	71:41	147:0	161:28	161:41	227:0	227:4	243:42	299:0	307:0
12	11:14	42:12	64:42	68:0	148:0	162:28	162:41	228:0	228:4	244:42	300:0	308:0
12	12:14	43:12	65:42	69:0	149:0	163:28	163:41	229:0	229:4	245:42	301:0	309:0
12	13:14	44:12	66:42	70:0	150:0	164:28	164:41	230:0	230:4	246:42	302:0	310:0
12	14:14	45:12	67:42	71:0	151:0	165:28	165:41	231:0	231:4	247:42	303:0	311:0
12	14:42	57:10	72:0	93:19	152:0	175:43	187:10	202:25	232:0	245:6	304:0	312:0
12	15:42	58:10	73:0	94:19	153:0	168:44	188:10	203:25	233:0	246:6	305:0	313:0
12	8:43	59:10	74:0	95:19	154:0	169:44	189:10	204:25	234:0	247:6	306:0	314:0
12	9:43	60:10	75:0	88:20	155:0	170:44	190:10	205:25	235:0	240:7	307:0	315:0
12	10:43	61:10	76:0	89:20	156:0	171:44	191:10	206:25	236:0	241:7	308:0	316:0
12	11:43	62:10	77:0	90:20	157:0	172:44	184:11	207:25	237:0	242:7	309:0	317:0
12	12:43	63:10	78:0	91:20	158:0	173:44	185:11	200:26	238:0	243:7	310:0	318:0
12	13:43	56:11	79:0	92:20	159:0	174:44	186:11	201:26	239:0	244:7	311:0	319:0
13	19:42	35:37	56:0	74:34	110:0	125:16	136:0	145:13	200:36	216:0	227:23	288:0	296:0
13	20:42	36:37	57:0	75:34	111:0	126:16	137:0	146:13	201:36	217:0	228:23	289:0	297:0
13	21:42	37:37	58:0	76:34	104:1	127:16	138:0	147:13	202:36	218:0	229:23	290:0	298:0
13	22:42	38:37	59:0	77:34	105:1	120:17	139:0	148:13	203:36	219:0	230:23	291:0	299:0
13	23:42	39:37	60:0	78:34	106:1	121:17	140:0	149:13	204:36	220:0	231:23	292:0	300:0
13	16:43	32:38	61:0	79:34	107:1	122:17	141:0	150:13	205:36	221:0	224:24	293:0	301:0
13	17:43	33:38	62:0	72:35	108:1	123:17	142:0	151:13	206:36	222:0	225:24	294:0	302:0
13	18:43	34:38	63:0	73:35	109:1	124:17	143:0	144:14	207:36	223:0	226:24	295:0	303:0
13	0:0	4:25	51:11	62:19	80:0	146:39	160:0	199:21	240:0	250:33	278:0	312:0	320:0
13	1:0	5:25	52:11	63:19	81:0	147:39	161:0	192:22	241:0	251:33	279:0	313:0	321:0
13	2:0	6:25	53:11	56:20	82:0	148:39	162:0	193:22	242:0	252:33	272:1	314:0	322:0
13	3:0	7:25	54:11	57:20	83:0	149:39	163:0	194:22	243:0	253:33	273:1	315:0	323:0
13	0:26	4:0	55:11	58:20	84:0	150:39	164:0	195:22	244:0	254:33	274:1	316:0	324:0
13	1:26	5:0	48:12	59:20	85:0	151:39	165:0	196:22	245:0	255:33	275:1	317:0	325:0
13	2:26	6:0	49:12	60:20	86:0	144:40	166:0	197:22	246:0	248:34	276:1	318:0	326:0
13	3:26	7:0	50:12	61:20	87:0	145:40	167:0	198:22	247:0	249:34	277:1	319:0	327:0
13	7:33	8:0	83:40	88:0	92:16	168:0	169:42	197:18	248:0	258:23	264:38	320:0	328:0
13	0:34	9:0	84:40	89:0	93:16	169:0	170:42	198:18	249:0	259:23	265:38	321:0	329:0
13	1:34	10:0	85:40	90:0	94:16	170:0	171:42	199:18	250:0	260:23	266:38	322:0	330:0
13	2:34	11:0	86:40	91:0	95:16	171:0	172:42	192:19	251:0	261:23	267:38	323:0	331:0
13	3:34	12:0	87:40	88:17	92:0	172:0	173:42	193:19	252:0	262:23	268:38	324:0	332:0
13	4:34	13:0	80:41	89:17	93:0	173:0	174:42	194:19	253:0	263:23	269:38	325:0	333:0
13	5:34	14:0	81:41	90:17	94:0	174:0	175:42	195:19	254:0	256:24	270:38	326:0	334:0
13	6:34	15:0	82:41	91:17	95:0	168:43	175:0	196:19	255:0	257:24	271:38	327:0	335:0
13	16:0	24:36	46:20	96:0	114:41	121:30	176:0	187:26	212:10	256:0	266:27	328:0	336:0
13	17:0	25:36	47:20	97:0	115:41	122:30	177:0	188:26	213:10	257:0	267:27	329:0	337:0
13	18:0	26:36	40:21	98:0	116:41	123:30	178:0	189:26	214:10	258:0	268:27	330:0	338:0
13	19:0	27:36	41:21	99:0	117:41	124:30	179:0	190:26	215:10	259:0	269:27	331:0	339:0
13	20:0	28:36	42:21	100:0	118:41	125:30	180:0	191:26	208:11	260:0	270:27	332:0	340:0
