9	6:2	12:15	17:20	27:10	36:6	128:10	161:32	320:0	328:0
9	7:2	13:15	18:20	28:10	37:6	129:10	162:32	321:0	329:0
9	0:3	14:15	19:20	29:10	38:6	130:10	163:32	322:0	330:0
9	1:3	15:15	20:20	30:10	39:6	131:10	164:32	323:0	331:0
9	2:3	8:16	21:20	31:10	32:7	132:10	165:32	324:0	332:0
9	3:3	9:16	22:20	24:11	33:7	133:10	166:32	325:0	333:0
9	4:3	10:16	23:20	25:11	34:7	134:10	167:32	326:0	334:0
9	5:3	11:16	16:21	26:11	35:7	135:10	160:33	327:0	335:0
10	2:17	12:0	17:2	30:4	38:27	51:14	107:1	171:32	192:0	359:44
10	3:17	13:0	18:2	31:4	39:27	52:14	108:1	172:32	193:0	352:0
10	4:17	14:0	19:2	24:5	32:28	53:14	109:1	173:32	194:0	353:0
10	5:17	15:0	20:2	25:5	33:28	54:14	110:1	174:32	195:0	354:0
10	6:17	8:1	21:2	26:5	34:28	55:14	111:1	175:32	196:0	355:0
10	7:17	9:1	22:2	27:5	35:28	48:15	104:2	168:33	197:0	356:0
10	0:18	10:1	23:2	28:5	36:28	49:15	105:2	169:33	198:0	357:0
10	1:18	11:1	16:3	29:5	37:28	50:15	106:2	170:33	199:0	358:0
10	2:15	11:3	19:10	27:28	37:17	46:20	116:28	180:26	192:0	200:0
10	3:15	12:3	20:10	28:28	38:17	47:20	117:28	181:26	193:0	201:0
10	4:15	13:3	21:10	29:28	39:17	40:21	118:28	182:26	194:0	202:0
10	5:15	14:3	22:10	30:28	32:18	41:21	119:28	183:26	195:0	203:0
10	6:15	15:3	23:10	31:28	33:18	42:21	112:29	176:27	196:0	204:0
10	7:15	8:4	16:11	24:29	34:18	43:21	113:29	177:27	197:0	205:0
10	0:16	9:4	17:11	25:29	35:18	44:21	114:29	178:27	198:0	206:0
10	1:16	10:4	18:11	26:29	36:18	45:21	115:29	179:27	199:0	207:0
10	2:33	14:2	17:9	31:9	37:0	68:14	96:11	159:0	200:0	208:0
10	3:33	15:2	18:9	24:10	38:0	69:14	97:11	152:1	201:0	209:0
10	4:33	8:3	19:9	25:10	39:0	70:14	98:11	153:1	202:0	210:0
10	5:33	9:3	20:9	26:10	32:1	71:14	99:11	154:1	203:0	211:0
10	6:33	10:3	21:9	27:10	33:1	64:15	100:11	155:1	204:0	212:0
10	7:33	11:3	22:9	28:10	34:1	65:15	101:11	156:1	205:0	213:0
10	0:34	12:3	23:9	29:10	35:1	66:15	102:11	157:1	206:0	214:0
10	1:34	13:3	16:10	30:10	36:1	67:15	103:11	158:1	207:0	215:0
10	4:41	11:34	17:10	29:4	32:41	78:8	95:12	154:4	208:0	216:0
10	5:41	12:34	18:10	30:4	33:41	79:8	88:13	155:4	209:0	217:0
10	6:41	13:34	19:10	31:4	34:41	72:9	89:13	156:4	210:0	218:0
10	7:41	14:34	20:10	24:5	35:41	73:9	90:13	157:4	211:0	219:0
10	0:42	15:34	21:10	25:5	36:41	74:9	91:13	158:4	212:0	220:0
10	1:42	8:35	22:10	26:5	37:41	75:9	92:13	159:4	213:0	221:0
10	2:42	9:35	23:10	27:5	38:41	76:9	93:13	152:5	214:0	222:0
10	3:42	10:35	16:11	28:5	39:41	77:9	94:13	153:5	215:0	223:0
10	1:33	12:0	23:12	28:5	33:40	73:28	124:27	161:0	216:0	224:0
10	2:33	13:0	16:13	29:5	34:40	74:28	125:27	162:0	217:0	225:0
10	3:33	14:0	17:13	30:5	35:40	75:28	126:27	163:0	218:0	226:0
10	4:33	15:0	18:13	31:5	36:40	76:28	127:27	164:0	219:0	227:0
10	5:33	8:1	19:13	24:6	37:40	77:28	120:28	165:0	220:0	228:0
10	6:33	9:1	20:13	25:6	38:40	78:28	121:28	166:0	221:0	229:0
10	7:33	10:1	21:13	26:6	39:40	79:28	122:28	167:0	222:0	230:0
10	0:34	11:1	22:13	27:6	32:41	72:29	123:28	160:1	223:0	231:0
10	3:23	8:4	20:9	31:0	33:2	44:1	132:17	156:35	224:0	232:0
10	4:23	9:4	21:9	24:1	34:2	45:1	133:17	157:35	225:0	233:0
10	5:23	10:4	22:9	25:1	35:2	46:1	134:17	158:35	226:0	234:0
10	6:23	11:4	23:9	26:1	36:2	47:1	135:17	159:35	227:0	235:0
10	7:23	12:4	16:10	27:1	37:2	40:2	128:18	152:36	228:0	236:0
10	0:24	13:4	17:10	28:1	38:2	41:2	129:18	153:36	229:0	237:0
10	1:24	14:4	18:10	29:1	39:2	42:2	130:18	154:36	230:0	238:0
10	2:24	15:4	19:10	30:1	32:3	43:2	131:18	155:36	231:0	239:0
10	6:42	8:11	17:13	24:25	36:39	56:26	98:14	176:15	232:0	240:0
10	7:42	9:11	18:13	25:25	37:39	57:26	99:14	177:15	233:0	241:0
10	0:43	10:11	19:13	26:25	38:39	58:26	100:14	178:15	234:0	242:0
